table,table ID,T,P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT
table,part,T,32,yellow wheat midnight papaya blue,Manufacturer#4,Brand#42,ECONOMY PLATED BRASS,31,LG CASE,932.03,blithely unu
table,part,T,33,maroon beige mint cyan peru,Manufacturer#2,Brand#22,ECONOMY PLATED NICKEL,16,LG PKG,933.03,furiously pendin
table,part,T,34,bisque pink dodger cream goldenrod,Manufacturer#1,Brand#13,LARGE BRUSHED STEEL,8,JUMBO BOX,934.03,unusu
table,part,T,35,green blue coral antique sandy,Manufacturer#4,Brand#43,MEDIUM ANODIZED BRASS,14,JUMBO PACK,935.03,even, 
table,part,T,36,chiffon smoke floral misty navy,Manufacturer#2,Brand#25,SMALL BURNISHED COPPER,3,JUMBO CAN,936.03,ironic courts gro
table,part,T,37,turquoise ivory orange sandy maroon,Manufacturer#4,Brand#45,LARGE POLISHED TIN,48,JUMBO BOX,937.03,blithely regular
table,part,T,38,seashell floral bisque midnight black,Manufacturer#4,Brand#43,ECONOMY ANODIZED BRASS,11,SM JAR,938.03,furiously pend
table,part,T,39,rose dodger lace peru floral,Manufacturer#5,Brand#53,SMALL POLISHED TIN,43,JUMBO JAR,939.03,quickly bo
table,part,T,40,rosy midnight floral misty green,Manufacturer#2,Brand#25,ECONOMY BURNISHED COPPER,27,SM CASE,940.04,quickly ironic dolphi
table,part,T,41,burlywood ghost antique metallic pale,Manufacturer#2,Brand#23,ECONOMY ANODIZED TIN,7,WRAP JAR,941.04,unusual, qui
table,part,T,42,midnight azure bisque turquoise lawn,Manufacturer#5,Brand#52,MEDIUM BURNISHED TIN,45,LG BOX,942.04,carefully final reques
table,part,T,43,medium khaki chocolate rosy blush,Manufacturer#4,Brand#44,PROMO POLISHED STEEL,5,WRAP CASE,943.04,carefully iro
table,part,T,44,medium maroon wheat lavender blush,Manufacturer#4,Brand#45,MEDIUM PLATED TIN,48,SM PACK,944.04,regular, regular theod
table,part,T,45,lemon medium frosted indian linen,Manufacturer#4,Brand#43,SMALL BRUSHED NICKEL,9,WRAP BAG,945.04,packa
table,part,T,46,antique peru lemon sandy steel,Manufacturer#1,Brand#11,STANDARD POLISHED TIN,45,WRAP CASE,946.04,stealt
table,part,T,47,sky firebrick red linen dim,Manufacturer#4,Brand#45,LARGE BURNISHED BRASS,14,JUMBO PACK,947.04,bold, unusual a
table,part,T,48,slate thistle indian lace drab,Manufacturer#5,Brand#53,STANDARD BRUSHED STEEL,27,JUMBO CASE,948.04,furiously 
table,part,T,49,blue tan cornsilk burlywood beige,Manufacturer#2,Brand#24,SMALL BURNISHED TIN,31,MED DRUM,949.04,carefu
table,part,T,50,yellow cornflower royal blush almond,Manufacturer#3,Brand#33,LARGE ANODIZED TIN,25,WRAP PKG,950.05,regular dinos ar
table,part,T,51,lime forest puff deep firebrick,Manufacturer#4,Brand#45,ECONOMY BURNISHED NICKEL,34,JUMBO PACK,951.05,Tiresias haggle blith
table,part,T,52,lemon lace khaki powder blanched,Manufacturer#3,Brand#35,STANDARD BURNISHED TIN,25,WRAP CASE,952.05,furiously regula
table,part,T,53,grey black dodger sandy puff,Manufacturer#2,Brand#23,ECONOMY BURNISHED NICKEL,32,MED BAG,953.05,slyly silent
table,part,T,54,peach smoke yellow pale cornflower,Manufacturer#2,Brand#21,LARGE BURNISHED COPPER,19,WRAP CASE,954.05,regular
table,part,T,55,antique cream pale tomato rose,Manufacturer#2,Brand#23,ECONOMY BRUSHED COPPER,9,MED BAG,955.05,furiously
table,part,T,56,midnight goldenrod drab ivory blanched,Manufacturer#1,Brand#12,MEDIUM PLATED STEEL,20,WRAP DRUM,956.05,instruction
table,part,T,57,purple blue tan goldenrod medium,Manufacturer#3,Brand#32,MEDIUM BURNISHED BRASS,49,MED PKG,957.05,slyly bold
table,part,T,58,linen beige coral dim salmon,Manufacturer#5,Brand#53,STANDARD POLISHED TIN,44,LG PACK,958.05,ironically bold theo
table,part,T,59,misty blush metallic spring blanched,Manufacturer#5,Brand#53,MEDIUM POLISHED TIN,2,LG BAG,959.05,express ins
table,part,T,60,sky burnished salmon navajo hot,Manufacturer#1,Brand#11,LARGE POLISHED COPPER,27,JUMBO CASE,960.06,blithely bol
table,part,T,61,drab burnished lime navy slate,Manufacturer#5,Brand#54,SMALL BURNISHED NICKEL,18,WRAP DRUM,961.06,slyly spe
table,part,T,62,tan ivory aquamarine indian burlywood,Manufacturer#3,Brand#35,STANDARD BRUSHED BRASS,39,JUMBO BOX,962.06,carefully furious
table,part,T,63,frosted puff hot rose coral,Manufacturer#3,Brand#32,STANDARD BURNISHED NICKEL,10,JUMBO CAN,963.06,fluffily unus
table,part,T,64,aquamarine puff papaya hot floral,Manufacturer#2,Brand#21,MEDIUM ANODIZED BRASS,1,JUMBO CAN,964.06,unusual, regula
table,part,T,65,slate lavender tomato black floral,Manufacturer#5,Brand#53,MEDIUM BRUSHED COPPER,3,MED CAN,965.06,careful
table,part,T,66,cornflower orchid chocolate lawn light,Manufacturer#3,Brand#35,PROMO ANODIZED NICKEL,46,SM CASE,966.06,express fox
table,part,T,67,slate cornsilk red orange plum,Manufacturer#2,Brand#21,SMALL BRUSHED TIN,31,WRAP DRUM,967.06,slyly regular packag
table,part,T,68,bisque frosted pale puff sandy,Manufacturer#1,Brand#11,PROMO ANODIZED STEEL,10,WRAP BOX,968.06,carefully 
table,part,T,69,peru green linen blush olive,Manufacturer#5,Brand#52,MEDIUM POLISHED BRASS,2,SM BOX,969.06,deposits sublate fl
table,part,T,70,violet midnight dark cornsilk wheat,Manufacturer#1,Brand#11,STANDARD BRUSHED STEEL,42,LG PACK,970.07,fluffily express instr
table,part,T,71,sky green spring lavender white,Manufacturer#3,Brand#33,STANDARD PLATED BRASS,26,WRAP DRUM,971.07,slyly special acco
table,part,T,72,orange spring burlywood chocolate black,Manufacturer#2,Brand#23,STANDARD ANODIZED TIN,25,JUMBO PACK,972.07,furiously 
table,part,T,73,cream misty tomato peach burlywood,Manufacturer#2,Brand#21,SMALL BRUSHED COPPER,35,WRAP DRUM,973.07,furio
table,part,T,74,dim linen frosted thistle pale,Manufacturer#5,Brand#55,ECONOMY ANODIZED BRASS,25,JUMBO CASE,974.07,quick
table,part,T,75,aquamarine lace wheat salmon blue,Manufacturer#3,Brand#35,SMALL BURNISHED NICKEL,39,SM JAR,975.07,quickly bo
table,part,T,76,bisque light yellow puff salmon,Manufacturer#3,Brand#34,MEDIUM BRUSHED COPPER,9,SM PKG,976.07,final 
table,part,T,77,slate bisque burnished honeydew beige,Manufacturer#5,Brand#52,STANDARD BRUSHED COPPER,13,MED PKG,977.07,carefully special p
table,part,T,78,blush green slate bisque powder,Manufacturer#1,Brand#14,ECONOMY POLISHED STEEL,24,LG JAR,978.07,furio
table,part,T,79,puff pink floral steel forest,Manufacturer#4,Brand#45,PROMO ANODIZED BRASS,22,JUMBO BAG,979.07,regular deposit
table,part,T,80,tomato saddle brown bisque light,Manufacturer#4,Brand#44,PROMO PLATED BRASS,28,MED CAN,980.08,blithel
table,part,T,81,misty salmon cornflower dark frosted,Manufacturer#5,Brand#53,ECONOMY BRUSHED TIN,21,MED BAG,981.08,slyly 
table,part,T,82,khaki tomato purple indian lemon,Manufacturer#1,Brand#15,ECONOMY POLISHED TIN,12,WRAP BOX,982.08,ideas
table,part,T,83,chocolate green deep lace aquamarine,Manufacturer#1,Brand#12,PROMO BURNISHED NICKEL,47,SM CAN,983.08,bold dependenci
table,part,T,84,salmon peru frosted red chiffon,Manufacturer#4,Brand#45,SMALL ANODIZED NICKEL,26,JUMBO PACK,984.08,pending, regular inst
table,part,T,85,aquamarine cornsilk floral misty light,Manufacturer#5,Brand#55,PROMO ANODIZED NICKEL,16,LG BAG,985.08,quickly even deposi
table,part,T,86,green blanched khaki steel deep,Manufacturer#4,Brand#44,STANDARD PLATED TIN,37,LG CASE,986.08,special, un
table,part,T,87,pale khaki sandy antique black,Manufacturer#4,Brand#41,LARGE PLATED STEEL,41,WRAP PACK,987.08,slyly even instruction
table,part,T,88,blue olive azure burlywood lavender,Manufacturer#4,Brand#44,PROMO PLATED COPPER,16,SM CASE,988.08,deposi
table,part,T,89,ghost khaki lawn pale dim,Manufacturer#5,Brand#53,STANDARD BURNISHED STEEL,7,MED JAR,989.08,quickly ironi
table,part,T,90,ghost goldenrod violet blue purple,Manufacturer#5,Brand#51,ECONOMY POLISHED STEEL,49,JUMBO CAN,990.09,regular courts de
table,part,T,91,dark beige metallic ivory burlywood,Manufacturer#2,Brand#21,STANDARD BRUSHED TIN,32,JUMBO PKG,991.09,final, final requests
table,part,T,92,chiffon dodger turquoise thistle red,Manufacturer#2,Brand#22,STANDARD ANODIZED TIN,35,JUMBO PKG,992.09,fluffily express a
table,part,T,93,blanched yellow cornflower khaki mint,Manufacturer#2,Brand#24,LARGE ANODIZED TIN,2,WRAP DRUM,993.09,instructio
table,part,T,94,azure pink orange goldenrod grey,Manufacturer#3,Brand#35,STANDARD POLISHED BRASS,32,SM BOX,994.09,fluffily 
table,part,T,95,coral chocolate wheat smoke magenta,Manufacturer#3,Brand#33,LARGE BRUSHED TIN,36,WRAP DRUM,995.09,regular packag
table,part,T,96,steel light drab chartreuse honeydew,Manufacturer#5,Brand#53,STANDARD BRUSHED STEEL,32,SM CASE,996.09,furiously bold p
table,part,T,97,metallic dodger aquamarine azure drab,Manufacturer#3,Brand#33,MEDIUM POLISHED BRASS,49,WRAP CAN,997.09,ironic t
table,part,T,98,frosted goldenrod chartreuse dark honeydew,Manufacturer#5,Brand#54,STANDARD ANODIZED BRASS,22,MED JAR,998.09,furiou
table,part,T,99,lemon peru chiffon sienna deep,Manufacturer#2,Brand#21,SMALL BURNISHED STEEL,11,JUMBO PKG,999.09,furiously silent pla
table,part,T,100,light orange khaki chiffon purple,Manufacturer#3,Brand#33,ECONOMY ANODIZED TIN,4,LG BAG,1000.10,instruction
table,part,T,101,hot yellow turquoise violet floral,Manufacturer#3,Brand#32,LARGE ANODIZED STEEL,26,JUMBO JAR,1001.10,slyly special 
table,part,T,102,firebrick orchid blanched sienna grey,Manufacturer#3,Brand#31,MEDIUM BURNISHED BRASS,17,SM DRUM,1002.10,slyly ironic asympto
table,part,T,103,navy cream lime orange metallic,Manufacturer#2,Brand#25,MEDIUM PLATED BRASS,45,WRAP DRUM,1003.10,pending, i
table,part,T,104,dim cream chocolate cornflower orange,Manufacturer#1,Brand#13,MEDIUM ANODIZED STEEL,36,JUMBO BAG,1004.10,pending,
table,part,T,105,rose puff ivory blanched burnished,Manufacturer#1,Brand#15,SMALL POLISHED COPPER,27,LG DRUM,1005.10,express, bold reques
table,part,T,106,cornsilk beige deep lavender antique,Manufacturer#3,Brand#31,MEDIUM PLATED BRASS,28,WRAP DRUM,1006.10,blithely special th
table,part,T,107,cyan coral red slate orange,Manufacturer#5,Brand#53,SMALL BURNISHED TIN,12,MED BOX,1007.10,furiously 
table,part,T,108,honeydew papaya gainsboro tomato puff,Manufacturer#1,Brand#12,PROMO PLATED NICKEL,41,MED PKG,1008.10,final 
table,part,T,109,lemon indian blanched chiffon coral,Manufacturer#3,Brand#33,ECONOMY POLISHED TIN,11,LG PACK,1009.10,ironic accounts nag bl
table,part,T,110,cornflower azure beige floral black,Manufacturer#3,Brand#33,STANDARD BURNISHED COPPER,46,LG DRUM,1010.11,bold asy
table,part,T,111,sandy almond chocolate moccasin misty,Manufacturer#5,Brand#54,LARGE BRUSHED COPPER,28,JUMBO JAR,1011.11,fluff
table,part,T,112,hot burnished tomato chocolate peru,Manufacturer#4,Brand#43,PROMO BRUSHED STEEL,42,JUMBO CAN,1012.11,even theodoli
table,part,T,113,almond coral royal honeydew lawn,Manufacturer#3,Brand#31,PROMO POLISHED TIN,23,LG CAN,1013.11,carefully regula
table,part,T,114,pale bisque antique white royal,Manufacturer#5,Brand#51,MEDIUM POLISHED NICKEL,41,MED PACK,1014.11,carefully 
table,part,T,115,spring hot sienna azure dark,Manufacturer#4,Brand#45,STANDARD POLISHED STEEL,24,MED CAN,1015.11,quickly unusu
table,part,T,116,thistle cornsilk pale firebrick black,Manufacturer#5,Brand#53,PROMO POLISHED NICKEL,33,SM PACK,1016.11,fluffily pending depos
table,part,T,117,tomato grey chiffon burlywood ghost,Manufacturer#1,Brand#14,SMALL BRUSHED TIN,25,LG BAG,1017.11,blithely pending 
table,part,T,118,bisque plum royal burlywood brown,Manufacturer#2,Brand#25,PROMO ANODIZED TIN,31,MED PACK,1018.11,theodolites 
table,part,T,119,olive black navajo burlywood ghost,Manufacturer#4,Brand#43,LARGE POLISHED STEEL,30,WRAP CASE,1019.11,blithely pendin
table,part,T,120,navy chocolate frosted burnished moccasin,Manufacturer#1,Brand#14,SMALL ANODIZED NICKEL,45,WRAP JAR,1020.12,ironic
table,part,T,121,smoke chiffon gainsboro magenta firebrick,Manufacturer#1,Brand#14,ECONOMY BRUSHED COPPER,13,SM PKG,1021.12,slyly ironic 
table,part,T,122,ghost royal chocolate peach ivory,Manufacturer#2,Brand#21,MEDIUM ANODIZED TIN,8,LG DRUM,1022.12,pinto beans w
table,part,T,123,cream almond papaya salmon blanched,Manufacturer#1,Brand#12,SMALL BURNISHED TIN,31,JUMBO PKG,1023.12,carefu
table,part,T,124,wheat azure khaki tan lime,Manufacturer#3,Brand#32,PROMO ANODIZED STEEL,1,LG BOX,1024.12,furiously
table,part,T,125,metallic indian magenta navy medium,Manufacturer#1,Brand#12,STANDARD BRUSHED BRASS,17,WRAP BAG,1025.12,carefully fina
table,part,T,126,burnished navy indian medium deep,Manufacturer#4,Brand#45,MEDIUM BRUSHED NICKEL,4,LG BAG,1026.12,slowly bold pin
table,part,T,127,moccasin green orchid blue blanched,Manufacturer#5,Brand#52,SMALL BURNISHED NICKEL,14,LG JAR,1027.12,slyly ironic packages 
table,part,T,128,linen brown khaki snow gainsboro,Manufacturer#2,Brand#22,PROMO PLATED TIN,5,SM BAG,1028.12,furiously regul
table,part,T,129,turquoise spring sandy tan ivory,Manufacturer#1,Brand#15,LARGE POLISHED TIN,20,SM JAR,1029.12,ironic ide
table,part,T,130,gainsboro goldenrod chiffon orchid rose,Manufacturer#2,Brand#23,SMALL PLATED NICKEL,26,LG BOX,1030.13,always even pi
table,part,T,131,tomato moccasin sandy blue frosted,Manufacturer#5,Brand#52,STANDARD ANODIZED BRASS,43,MED DRUM,1031.13,blithely regul
table,part,T,132,seashell papaya thistle light powder,Manufacturer#4,Brand#45,STANDARD BURNISHED BRASS,2,WRAP DRUM,1032.13,furiously 
table,part,T,133,navajo black dim peru deep,Manufacturer#1,Brand#13,SMALL BRUSHED NICKEL,19,LG PKG,1033.13,theodolites sublate f
table,part,T,134,turquoise goldenrod white moccasin spring,Manufacturer#4,Brand#42,SMALL POLISHED STEEL,35,SM PKG,1034.13,pinto beans use fluffi
table,part,T,135,metallic lime cyan forest burlywood,Manufacturer#2,Brand#21,MEDIUM BURNISHED STEEL,24,JUMBO CASE,1035.13,special hock
table,part,T,136,cornsilk blush powder tan rose,Manufacturer#2,Brand#22,SMALL PLATED STEEL,2,WRAP BAG,1036.13,requests against
table,part,T,137,saddle dodger purple salmon rosy,Manufacturer#3,Brand#31,ECONOMY PLATED STEEL,25,MED PACK,1037.13,careful 
table,part,T,138,dark goldenrod ghost hot grey,Manufacturer#1,Brand#13,ECONOMY BURNISHED COPPER,42,JUMBO DRUM,1038.13,blithely final
table,part,T,139,floral chocolate purple deep coral,Manufacturer#3,Brand#32,MEDIUM BRUSHED STEEL,7,SM BOX,1039.13,furiou
table,part,T,140,frosted chiffon thistle sky grey,Manufacturer#5,Brand#53,STANDARD PLATED STEEL,45,SM BOX,1040.14,blithely final depen
table,part,T,141,peru sienna salmon snow gainsboro,Manufacturer#3,Brand#35,STANDARD ANODIZED STEEL,23,SM PKG,1041.14,quickly even
table,part,T,142,chartreuse sky deep slate thistle,Manufacturer#5,Brand#55,STANDARD ANODIZED BRASS,36,MED JAR,1042.14,quickly e
table,part,T,143,moccasin dim almond black misty,Manufacturer#3,Brand#34,ECONOMY PLATED TIN,44,MED BAG,1043.14,slyly express fo
table,part,T,144,wheat brown orange almond aquamarine,Manufacturer#1,Brand#14,SMALL ANODIZED TIN,26,SM BOX,1044.14,blithely bold r
table,part,T,145,indian rosy chartreuse orchid grey,Manufacturer#5,Brand#53,PROMO BRUSHED COPPER,24,SM BAG,1045.14,bold acc
table,part,T,146,azure medium midnight burlywood blue,Manufacturer#3,Brand#34,STANDARD BRUSHED COPPER,11,WRAP PACK,1046.14,slyly ironic 
table,part,T,147,honeydew brown deep light chartreuse,Manufacturer#1,Brand#11,MEDIUM PLATED COPPER,29,JUMBO PKG,1047.14,quickly special co
table,part,T,148,yellow white tan khaki saddle,Manufacturer#3,Brand#31,STANDARD PLATED STEEL,20,SM BOX,1048.14,carefull
table,part,T,149,tan cyan forest ghost plum,Manufacturer#2,Brand#24,MEDIUM BURNISHED NICKEL,6,MED PKG,1049.14,slyly bold d
table,part,T,150,antique red moccasin green burlywood,Manufacturer#3,Brand#35,LARGE BRUSHED TIN,21,SM BAG,1050.15,bold a
table,part,T,151,chartreuse lime slate white thistle,Manufacturer#3,Brand#34,LARGE PLATED BRASS,45,MED CAN,1051.15,accounts wake c
table,part,T,152,light indian linen dodger blush,Manufacturer#5,Brand#53,MEDIUM POLISHED STEEL,48,MED CASE,1052.15,careful
table,part,T,153,powder firebrick chiffon purple khaki,Manufacturer#1,Brand#11,STANDARD PLATED TIN,20,MED BAG,1053.15,always f
table,part,T,154,peru powder pink orchid lace,Manufacturer#1,Brand#11,ECONOMY ANODIZED TIN,1,JUMBO BAG,1054.15,furiously regular requ
table,part,T,155,beige saddle cornsilk mint sky,Manufacturer#2,Brand#21,SMALL BRUSHED NICKEL,28,WRAP CASE,1055.15,fluffily
table,part,T,156,steel gainsboro plum black cornsilk,Manufacturer#4,Brand#43,SMALL POLISHED NICKEL,2,LG PKG,1056.15,package
table,part,T,157,navajo lime cream ghost drab,Manufacturer#1,Brand#11,ECONOMY ANODIZED STEEL,26,JUMBO PACK,1057.15,ironic 
table,part,T,158,magenta light rosy almond goldenrod,Manufacturer#4,Brand#45,MEDIUM BURNISHED COPPER,47,LG JAR,1058.15,carefully ironic
table,part,T,159,linen drab antique steel aquamarine,Manufacturer#4,Brand#43,SMALL ANODIZED BRASS,46,SM BAG,1059.15,ironic 
table,part,T,160,lace coral cream saddle maroon,Manufacturer#5,Brand#55,STANDARD POLISHED COPPER,47,JUMBO CAN,1060.16,accounts affix 
table,part,T,161,hot dodger rosy firebrick aquamarine,Manufacturer#2,Brand#22,STANDARD PLATED TIN,17,SM PACK,1061.16,daringly final de
table,part,T,162,aquamarine coral black ivory misty,Manufacturer#3,Brand#33,MEDIUM ANODIZED COPPER,35,JUMBO PACK,1062.16,ruthlessly iron
table,part,T,163,blush yellow frosted lace drab,Manufacturer#2,Brand#21,ECONOMY PLATED TIN,34,WRAP DRUM,1063.16,blithely even 
table,part,T,164,brown cream linen frosted blue,Manufacturer#2,Brand#23,LARGE PLATED BRASS,35,JUMBO BAG,1064.16,ironically final idea
table,part,T,165,chiffon dim coral sienna seashell,Manufacturer#1,Brand#15,STANDARD PLATED STEEL,24,SM CAN,1065.16,silent 
table,part,T,166,linen royal chiffon floral misty,Manufacturer#5,Brand#52,LARGE POLISHED COPPER,4,MED BAG,1066.16,enticingly pending r
table,part,T,167,almond lavender lawn pink ghost,Manufacturer#3,Brand#32,LARGE ANODIZED STEEL,46,WRAP BOX,1067.16,accounts sl
table,part,T,168,lace frosted brown slate lawn,Manufacturer#1,Brand#13,SMALL BRUSHED COPPER,20,JUMBO DRUM,1068.16,furiously close r
table,part,T,169,tan lime sky almond midnight,Manufacturer#5,Brand#55,STANDARD POLISHED BRASS,10,JUMBO CASE,1069.16,blithely
table,part,T,170,peru green hot medium thistle,Manufacturer#3,Brand#33,LARGE POLISHED COPPER,28,LG DRUM,1070.17,final, 
table,part,T,171,beige seashell almond linen blush,Manufacturer#1,Brand#11,STANDARD BURNISHED COPPER,40,LG JAR,1071.17,unusual pack
table,part,T,172,medium goldenrod tan light brown,Manufacturer#5,Brand#53,PROMO PLATED NICKEL,28,MED CASE,1072.17,foxes wak
table,part,T,173,pale papaya tomato navajo coral,Manufacturer#1,Brand#12,ECONOMY BURNISHED TIN,17,LG CASE,1073.17,silent, special 
table,part,T,174,plum pink medium saddle orchid,Manufacturer#1,Brand#15,ECONOMY BRUSHED COPPER,25,LG CASE,1074.17,carefully final reque
table,part,T,175,azure blanched chartreuse moccasin ghost,Manufacturer#1,Brand#11,PROMO ANODIZED TIN,45,JUMBO JAR,1075.17,realms solve even pin
table,part,T,176,lawn forest indian orchid peru,Manufacturer#2,Brand#24,SMALL ANODIZED STEEL,40,MED CAN,1076.17,furiously regula
table,part,T,177,indian deep sandy floral yellow,Manufacturer#2,Brand#21,MEDIUM BRUSHED STEEL,42,LG BAG,1077.17,silent requests 
table,part,T,178,blue black cornflower white powder,Manufacturer#1,Brand#13,STANDARD POLISHED TIN,10,LG JAR,1078.17,pending pearls sleep
table,part,T,179,rose lime blush bisque ivory,Manufacturer#4,Brand#43,ECONOMY BRUSHED STEEL,20,LG JAR,1079.17,carefull
table,part,T,180,purple blanched khaki blush aquamarine,Manufacturer#3,Brand#33,STANDARD BURNISHED NICKEL,7,WRAP BAG,1080.18,furiously
table,part,T,181,almond burlywood smoke peru dark,Manufacturer#2,Brand#24,MEDIUM PLATED STEEL,19,WRAP CAN,1081.18,quickly ev
table,part,T,182,beige medium brown chartreuse purple,Manufacturer#3,Brand#31,MEDIUM ANODIZED COPPER,11,JUMBO CAN,1082.18,carefully unusual 
table,part,T,183,ivory white wheat pale orange,Manufacturer#5,Brand#52,PROMO POLISHED STEEL,35,LG PKG,1083.18,regular packages d
table,part,T,184,burlywood cream cornsilk chocolate purple,Manufacturer#5,Brand#53,SMALL POLISHED TIN,42,LG BOX,1084.18,quickly r
table,part,T,185,firebrick rose indian spring magenta,Manufacturer#4,Brand#44,ECONOMY POLISHED TIN,4,WRAP BAG,1085.18,pearls
table,part,T,186,papaya cream chartreuse spring blush,Manufacturer#2,Brand#23,ECONOMY BRUSHED TIN,15,JUMBO PKG,1086.18,ironic pinto 
table,part,T,187,white brown cyan lavender orange,Manufacturer#4,Brand#45,PROMO ANODIZED BRASS,45,MED CAN,1087.18,blithely r
table,part,T,188,gainsboro steel rosy dim drab,Manufacturer#5,Brand#54,ECONOMY ANODIZED BRASS,9,MED CAN,1088.18,quick
table,part,T,189,dodger misty yellow brown grey,Manufacturer#2,Brand#22,MEDIUM BRUSHED BRASS,13,WRAP DRUM,1089.18,theodolites sl
table,part,T,190,chartreuse khaki ivory chiffon bisque,Manufacturer#5,Brand#53,LARGE BURNISHED NICKEL,23,WRAP BAG,1090.19,blithely regular reque
table,part,T,191,navajo metallic puff firebrick cornflower,Manufacturer#3,Brand#31,MEDIUM POLISHED BRASS,36,WRAP BOX,1091.19,ironic dep
table,part,T,192,light seashell firebrick cornflower green,Manufacturer#3,Brand#34,STANDARD BRUSHED COPPER,17,MED BAG,1092.19,grouches wake f
