nmc-expenditure,nmc-expenditure alias,nmc-expenditure id,nmc-title,nmc-title alias,nmc-title id,nmc-chapter,nmc-chapter alias,nmc-chapter id,nmc-article,nmc-article alias,nmc-article id,nmc-item,nmc-item alias,int.li,p,p lang
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 1,NIV-47483218314141915_47483218314322900@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N114A0,nmc-article,2 1 0,NIV-47483218314141915_47483218314322901@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N114AE,nmc-item,2 1 0 3,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 70 000.,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 1,NIV-47483218314141915_47483218314322900@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N114A0,nmc-article,2 1 0,NIV-47483218314141915_47483218314322901@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N114AE,nmc-item,2 1 0 4,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 94 000.,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,2,NIV-47483218314141915_47483218314322886@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11311,nmc-chapter,2 1,NIV-47483218314141915_47483218314322900@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N114A0,nmc-article,2 1 0,NIV-47483218314141915_47483218314322901@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N114AE,nmc-item,2 1 0 5,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 72 000.,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,3,NIV-47483218314141915_47483218314322916@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N116A9,nmc-chapter,3 0,NIV-47483218314141915_47483218314322917@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N116B3,nmc-article,3 0 4,NIV-47483218314141915_47483218314322920@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1171F,nmc-item,3 0 4 3,int.li,This appropriation is intended to cover expenditure, other than that covered by Chapter 1 0 and Article 3 0 0, connected with the organisation of meetings of: ,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,3,NIV-47483218314141915_47483218314322916@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N116A9,nmc-chapter,3 0,NIV-47483218314141915_47483218314322917@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N116B3,nmc-article,3 0 4,NIV-47483218314141915_47483218314322920@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1171F,nmc-item,3 0 4 9,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 50 000.,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,3,NIV-47483218314141915_47483218314322916@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N116A9,nmc-chapter,3 2,NIV-47483218314141915_47483218314322925@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11804,nmc-article,3 2 2,NIV-47483218314141915_47483218314322927@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N1183E,nmc-item,3 2 2 2,int.li,This appropriation is intended to cover the cost of outside archiving services, such as: ,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,3,NIV-47483218314141915_47483218314322916@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N116A9,nmc-chapter,3 2,NIV-47483218314141915_47483218314322925@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11804,nmc-article,3 2 4,NIV-47483218314141915_47483218314322931@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N118F4,nmc-item,3 2 4 0,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 100 000.,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,3,NIV-47483218314141915_47483218314322916@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N116A9,nmc-chapter,3 2,NIV-47483218314141915_47483218314322925@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11804,nmc-article,3 2 4,NIV-47483218314141915_47483218314322931@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N118F4,nmc-item,3 2 4 2,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 5 000.,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,3,NIV-47483218314141915_47483218314322916@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N116A9,nmc-chapter,3 2,NIV-47483218314141915_47483218314322925@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11804,nmc-article,3 2 4,NIV-47483218314141915_47483218314322931@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N118F4,nmc-item,3 2 4 3,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 5 000.,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,3,NIV-47483218314141915_47483218314322916@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N116A9,nmc-chapter,3 2,NIV-47483218314141915_47483218314322925@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11804,nmc-article,3 2 4,NIV-47483218314141915_47483218314322931@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N118F4,nmc-item,3 2 4 7,The amount of assigned revenue in accordance with Article 21(3) of the Financial Regulation is estimated at EUR 5 000 000.,en,en
nmc-expenditure,E,NIV-47483218314141915_47483218314322835@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N10C4B,nmc-title,3,NIV-47483218314141915_47483218314322916@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N116A9,nmc-chapter,3 2,NIV-47483218314141915_47483218314322925@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N11804,nmc-article,3 2 4,NIV-47483218314141915_47483218314322931@dd2a8986-adea-456d-b71b-b3c9bb23dabe-N118F4,nmc-item,3 2 4 8,int.li,This appropriation is intended to cover: ,en
