root,course_listing,note,course,title,credits,level,restrictions,section_listing,section_note,section,days,instructor,bldg_and_rm,bldg,rm
root,course_listing,,367-720,GRADUATE FILM/VIDEO WORKSHOP I,1-6,G,; ; MAY BE RETAKEN TO MAX OF 9 CR. PREREQ: GRAD ST FILM OR CONS INSTR,section_listing,,La 802,MW,White,bldg_and_rm,MIT,B61
root,course_listing,,367-720,GRADUATE FILM/VIDEO WORKSHOP I,1-6,G,; ; MAY BE RETAKEN TO MAX OF 9 CR. PREREQ: GRAD ST FILM OR CONS INSTR,section_listing,,La 803,TR,Blau,bldg_and_rm,MIT,B61
root,course_listing,,397-101,CULTURAL DIVERSITY IN HEALTH CARE,3,U,; (SS&amp;) PREREQ: NONE,section_listing,,Lc 400,TR,Clinton,bldg_and_rm,CUN,151
root,course_listing,,397-101,CULTURAL DIVERSITY IN HEALTH CARE,3,U,; (SS&amp;) PREREQ: NONE,section_listing,e,Lc 401,M,Clinton,bldg_and_rm,CUN,151
root,course_listing,,397-103,FRESHMAN SEMINAR IN PROFESSIONAL NURSING,1,U,; ; JOINTLY OFFERED WITH & COUNTS AS A REPEAT OF HLTHRST 103 & HLTHMNT 103. PREREQ: ADMIS TO PRENURSING PROG,section_listing,,Lc 400,T,Schmid,bldg_and_rm,CUN,195
root,course_listing,,397-200,GROWTH AND DEVELOPMENT I,3,U,; (SS) PREREQ: PSYCH 101(P) OR CONS INSTR,section_listing,,Lc 400,MW,Ott,bldg_and_rm,CUN,151
root,course_listing,,397-202,GROWTH AND DEVELOPMENT II,3,U,; (SS) PREREQ: PSYCH 101(P) OR CONS INSTR,section_listing,,Lc 400,MW,Bitzan,bldg_and_rm,CUN,151
root,course_listing,#+,216-792,STRATEGIC MANAGEMENT,2,G,; ; PREREQ: GRAD ST; BUS ADM 700(P), 705(P), 731(P) & 760(P); OR CONS INSTR,section_listing,e,Se 001,T,Serebin,bldg_and_rm,BUS,N110
root,course_listing,#+,216-792,STRATEGIC MANAGEMENT,2,G,; ; PREREQ: GRAD ST; BUS ADM 700(P), 705(P), 731(P) & 760(P); OR CONS INSTR,section_listing,e,Se 002,R,Yasai,bldg_and_rm,BUS,N110
root,course_listing,#+,397-230,FOUNDATIONS OF PROFESSIONAL NURSING,3,U,; ; PREREQ: ADMIS TO NURSING MAJOR, OR CONS INSTR,section_listing,,Lc 400,TR,Dupree,bldg_and_rm,CUN,151
root,course_listing,#+,397-405,ISSUES IN PROFESSIONAL NURSING,3,U,; ; PREREQ: FNDNURS 300(P); FNDNURS/HLTHRST 442(C) OR CONS INSTR ; ; THE SCHOOL OF NURSING RESERVES THE RIGHT TO DROP OTHER STUDENTS FROM SECTIONS IF THEIR REGISTRATION WOULD MAKE IT IMPOSSIBLE FOR ALL TO ENROL,section_listing,,Se 001,M,Cowles,bldg_and_rm,CUN,195
root,course_listing,#+,397-405,ISSUES IN PROFESSIONAL NURSING,3,U,; ; PREREQ: FNDNURS 300(P); FNDNURS/HLTHRST 442(C) OR CONS INSTR ; ; THE SCHOOL OF NURSING RESERVES THE RIGHT TO DROP OTHER STUDENTS FROM SECTIONS IF THEIR REGISTRATION WOULD MAKE IT IMPOSSIBLE FOR ALL TO ENROL,section_listing,,Se 002,M,Bitzan,bldg_and_rm,CUN,557
root,course_listing,#+,397-405,ISSUES IN PROFESSIONAL NURSING,3,U,; ; PREREQ: FNDNURS 300(P); FNDNURS/HLTHRST 442(C) OR CONS INSTR ; ; THE SCHOOL OF NURSING RESERVES THE RIGHT TO DROP OTHER STUDENTS FROM SECTIONS IF THEIR REGISTRATION WOULD MAKE IT IMPOSSIBLE FOR ALL TO ENROL,section_listing,,Se 003,M,Wilk,bldg_and_rm,CUN,G40
root,course_listing,,397-801,FOUNDATIONS OF NURSING INQUIRY,3,G,; ; NOT OPEN TO STUDENTS WHO HAVE CR IN HLTHMNT OR HLTHRST 801, WHICH ARE IDENTICAL TO FNDNURS 801. PREREQ: ADMIS TO DOCTORAL PROG IN NURSING OR CONS INSTR,section_listing,,Se 001,M,Rodgers,bldg_and_rm,CUN,595
root,course_listing,,397-803,NURSING SCIENCE AND PUBLIC POLICY,2,G,; ; NOT OPEN TO STUDENTS WHO HAVE CR IN HLTHMNT OR HLTHRST 803, WHICH ARE IDENTICAL TO FNDNURS 803. PREREQ: FNDNURS, HLTHMNT, OR HLTHRST 801, OR CONS INSTR,section_listing,,Se 001,M,Lundeen,bldg_and_rm,CUN,407
root,course_listing,,397-883,QUANTITATIVE APPROACHS TO NURSING RESEARCH,3,G,; ; NOT OPEN TO STUDENTS WHO HAVE CR IN HLTHMNT OR HLTHRST 883, WHICH ARE IDENTICAL TO FNDNURS 883. PREREQ: FNDNURS 725 OR EQUIV; FNDNURS, HLTHMNT, OR HLTHRST 881; MULTIVARIATE STATISTICS; OR CONS INSTR; FNDNURS 725(NP), 881(NP), HLTHMNT 881(NP), HLTHRST 881(NP),section_listing,e,Se 001,M,Devine,bldg_and_rm,CUN,407
root,course_listing,,400-103,FIRST-SEMESTER FRENCH,4,U,; ; MAY NOT BE COMBINED FOR CR WITH FRENCH 101 OR 102. PREREQ: NONE ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801,section_listing,,Se 001,MTWF,Alkhas,bldg_and_rm,CRT,B19
root,course_listing,,400-103,FIRST-SEMESTER FRENCH,4,U,; ; MAY NOT BE COMBINED FOR CR WITH FRENCH 101 OR 102. PREREQ: NONE ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801,section_listing,,Se 002,MTWF,Swenson,bldg_and_rm,CRT,B19
root,course_listing,,400-103,FIRST-SEMESTER FRENCH,4,U,; ; MAY NOT BE COMBINED FOR CR WITH FRENCH 101 OR 102. PREREQ: NONE ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801,section_listing,e,Se 003,MW,Lemke,bldg_and_rm,MER,G35
root,course_listing,,400-103,FIRST-SEMESTER FRENCH,4,U,; ; MAY NOT BE COMBINED FOR CR WITH FRENCH 101 OR 102. PREREQ: NONE ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801,section_listing,,Se 004,MTWF,Lemke,bldg_and_rm,CRT,B25
root,course_listing,,400-103,FIRST-SEMESTER FRENCH,4,U,; ; MAY NOT BE COMBINED FOR CR WITH FRENCH 101 OR 102. PREREQ: NONE ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801,section_listing,,La 801,R,Alkhas,bldg_and_rm,CRT,B84
root,course_listing,,400-103,FIRST-SEMESTER FRENCH,4,U,; ; MAY NOT BE COMBINED FOR CR WITH FRENCH 101 OR 102. PREREQ: NONE ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801,section_listing,,La 802,R,Swenson,bldg_and_rm,CRT,B85A
root,course_listing,,400-103,FIRST-SEMESTER FRENCH,4,U,; ; MAY NOT BE COMBINED FOR CR WITH FRENCH 101 OR 102. PREREQ: NONE ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801,section_listing,e,La 803,W,Lemke,bldg_and_rm,CRT,B84
root,course_listing,,400-103,FIRST-SEMESTER FRENCH,4,U,; ; MAY NOT BE COMBINED FOR CR WITH FRENCH 101 OR 102. PREREQ: NONE ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801,section_listing,,La 804,R,Lemke,bldg_and_rm,CRT,B85A
root,course_listing,,400-104,SECOND-SEMESTER FRENCH,4,U,; ; PREREQ: FRENCH 102(P) OR 103(P) OR PLACEMENT. ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801 L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,,Se 001,TWRF,Swenson,bldg_and_rm,CRT,B12
root,course_listing,,400-104,SECOND-SEMESTER FRENCH,4,U,; ; PREREQ: FRENCH 102(P) OR 103(P) OR PLACEMENT. ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801 L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,e,Se 002,MW,McCuskey,bldg_and_rm,MER,114
root,course_listing,,400-104,SECOND-SEMESTER FRENCH,4,U,; ; PREREQ: FRENCH 102(P) OR 103(P) OR PLACEMENT. ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801 L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,,Se 003,MTWF,McCuskey,bldg_and_rm,CRT,B12
root,course_listing,,400-104,SECOND-SEMESTER FRENCH,4,U,; ; PREREQ: FRENCH 102(P) OR 103(P) OR PLACEMENT. ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801 L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,,La 801,M,Swenson,bldg_and_rm,CRT,B85A
root,course_listing,,400-104,SECOND-SEMESTER FRENCH,4,U,; ; PREREQ: FRENCH 102(P) OR 103(P) OR PLACEMENT. ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801 L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,e,La 802,W,McCuskey,bldg_and_rm,CRT,B84
root,course_listing,,400-104,SECOND-SEMESTER FRENCH,4,U,; ; PREREQ: FRENCH 102(P) OR 103(P) OR PLACEMENT. ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801 L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,,La 803,R,McCuskey,bldg_and_rm,CRT,B84
root,course_listing,,400-203,THIRD-SEMESTER FRENCH,3,U,; ; PREREQ: FRENCH 104(P) OR PLACEMENT; FRENCH 213(R) ; ; L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,,Se 001,MWF,Dermond,bldg_and_rm,MER,247
root,course_listing,,400-203,THIRD-SEMESTER FRENCH,3,U,; ; PREREQ: FRENCH 104(P) OR PLACEMENT; FRENCH 213(R) ; ; L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,,Se 002,MWF,Santori,bldg_and_rm,HLT,190
root,course_listing,,400-203,THIRD-SEMESTER FRENCH,3,U,; ; PREREQ: FRENCH 104(P) OR PLACEMENT; FRENCH 213(R) ; ; L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,e,Se 003,TR,Bengloan,bldg_and_rm,CRT,124
root,course_listing,,400-204,FOURTH-SEMESTER FRENCH,3,U,; ; PREREQ: FRENCH 203(P) OR PLACEMENT; FRENCH 213(R). ; ; L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,,Se 001,MWF,Hicks,bldg_and_rm,MER,116
root,course_listing,,400-204,FOURTH-SEMESTER FRENCH,3,U,; ; PREREQ: FRENCH 203(P) OR PLACEMENT; FRENCH 213(R). ; ; L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,,Se 002,MWF,Menon,bldg_and_rm,MER,247
root,course_listing,,400-303,CONVERSATION AND COMPOSITION: SECOND-YEAR LEVEL,3,U,; (HU) PREREQ: FRENCH 204(P) OR PLACEMENT; FRENCH 213(R) ; (215) ;,section_listing,,Se 001,MWF,Kuiper,bldg_and_rm,CRT,221
root,course_listing,,400-322,APPROACHES TO POETRY AND FICTION,3,U,; (HU) PREREQ: FRENCH 303(215)(P) OR CONS DEPT CHAIR,section_listing,,Se 001,MWF,Mileham,bldg_and_rm,HLT,G84
root,course_listing,,400-325,INTENSIVE GRAMMAR AND USAGE,3,U,; ; PREREQ: FRENCH 303(215)(P) OR CONS DEPT CHAIR; FRENCH 213(R),section_listing,,Se 001,MWF,Turcat,bldg_and_rm,CRT,221
root,course_listing,,400-327,CONTEMPORARY FRENCH LANGUAGE AND CULTURE,3,U,; (HU) PREREQ: FRENCH 303(215)(P) OR CONS DEPT CHAIR,section_listing,,Se 001,T
      R,Alkhas
      Alkhas,bldg_and_rm,CRT,B13
          CRT
root,course_listing,,400-392,PHONETICS,3,U,; ; REQUIRED OF TEACHING MAJORS & MINORS. PREREQ: FRENCH 303(215)(P) OR CONS DEPT CHAIR,section_listing,e,Se 001,TR,Kuiper,bldg_and_rm,CRT,221
root,course_listing,,400-425,INTRODUCTION TO TRANSLATION,3,U/G,; ; PREREQ: FRENCH 325(P) & 327(P) OR EQUIV,section_listing,e,Se 001,MW,Velguth,bldg_and_rm,CRT,766
root,course_listing,,400-429,FRENCH CULTURE FROM THE MIDDLE AGES TO THE FRENCH REVOLUTION (=),3,U/G,; (649) PREREQ: JR ST; TWO 300-LEVEL FRENCH LIT OR CULTURE (CIV) COURSES,section_listing,,Se 001,T
      R,Verdier
      Verdier,bldg_and_rm,CRT,B84
          CRT
root,course_listing,#+,216-796,COMPETITION AND STRATEGY,2,G,; ; PREREQ: GRAD ST; BUS ADM 792(P),section_listing,e,Se 001,W,Yasai,bldg_and_rm,BUS,N116
root,course_listing,,416-105,INTRODUCTION TO CULTURAL AND HISTORICAL GEOGRAPHY,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE,section_listing,,Se 001,MWF,Edwards,bldg_and_rm,BOL,B95
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,,Lc 401,TR,Ottone,bldg_and_rm,CHM,180
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,e,Lc 402,W,Zimmerman,bldg_and_rm,BOL,B56
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,,Ds 601,T,Bump,bldg_and_rm,BOL,262
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,,Ds 602,T,Escott,bldg_and_rm,BOL,262
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,e,Ds 603,T,Escott,bldg_and_rm,BOL,262
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,e,Ds 604,T,Escott,bldg_and_rm,BOL,262
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,,Ds 605,W,Bump,bldg_and_rm,BOL,262
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,,Ds 606,R,Bump,bldg_and_rm,BOL,262
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,,Ds 607,R,Bump,bldg_and_rm,BOL,262
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,e,Ds 608,W,Escott,bldg_and_rm,BOL,262
root,course_listing,,416-114,GEOGRAPHY OF MINORITIES IN THE UNITED STATES,3,U,; (SS&amp;) PREREQ: NONE,section_listing,,Se 001,TR,Zimmerman,bldg_and_rm,BOL,B46
root,course_listing,,416-120,OUR PHYSICAL ENVIRONMENT,3-4,U,; (NS+) NOT OPEN FOR CR TO STUDENTS W/CR IN GEOG 121(ER), 122(ER), OR 125(ER). REQUIRED ALL-DAY FIELD TRIP FOR WHICH FEE IS ASSESSED. PREREQ: NONE ; ; COURSE IS OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 120 & 125 MEET TOGETHER. ENROL INEITHER LC 401 OR 402 & ANY LA 801-806,section_listing,,La 801,M,Mujica,bldg_and_rm,BOL,262
root,course_listing,,416-120,OUR PHYSICAL ENVIRONMENT,3-4,U,; (NS+) NOT OPEN FOR CR TO STUDENTS W/CR IN GEOG 121(ER), 122(ER), OR 125(ER). REQUIRED ALL-DAY FIELD TRIP FOR WHICH FEE IS ASSESSED. PREREQ: NONE ; ; COURSE IS OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 120 & 125 MEET TOGETHER. ENROL INEITHER LC 401 OR 402 & ANY LA 801-806,section_listing,e,La 802,T,Armstrong,bldg_and_rm,BOL,262
root,course_listing,,416-120,OUR PHYSICAL ENVIRONMENT,3-4,U,; (NS+) NOT OPEN FOR CR TO STUDENTS W/CR IN GEOG 121(ER), 122(ER), OR 125(ER). REQUIRED ALL-DAY FIELD TRIP FOR WHICH FEE IS ASSESSED. PREREQ: NONE ; ; COURSE IS OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 120 & 125 MEET TOGETHER. ENROL INEITHER LC 401 OR 402 & ANY LA 801-806,section_listing,,La 803,W,Restificar,bldg_and_rm,BOL,262
root,course_listing,,416-120,OUR PHYSICAL ENVIRONMENT,3-4,U,; (NS+) NOT OPEN FOR CR TO STUDENTS W/CR IN GEOG 121(ER), 122(ER), OR 125(ER). REQUIRED ALL-DAY FIELD TRIP FOR WHICH FEE IS ASSESSED. PREREQ: NONE ; ; COURSE IS OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 120 & 125 MEET TOGETHER. ENROL INEITHER LC 401 OR 402 & ANY LA 801-806,section_listing,,La 804,R,Armstrong,bldg_and_rm,BOL,262
root,course_listing,,416-120,OUR PHYSICAL ENVIRONMENT,3-4,U,; (NS+) NOT OPEN FOR CR TO STUDENTS W/CR IN GEOG 121(ER), 122(ER), OR 125(ER). REQUIRED ALL-DAY FIELD TRIP FOR WHICH FEE IS ASSESSED. PREREQ: NONE ; ; COURSE IS OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 120 & 125 MEET TOGETHER. ENROL INEITHER LC 401 OR 402 & ANY LA 801-806,section_listing,e,La 805,R,Mujica,bldg_and_rm,BOL,262
root,course_listing,,416-120,OUR PHYSICAL ENVIRONMENT,3-4,U,; (NS+) NOT OPEN FOR CR TO STUDENTS W/CR IN GEOG 121(ER), 122(ER), OR 125(ER). REQUIRED ALL-DAY FIELD TRIP FOR WHICH FEE IS ASSESSED. PREREQ: NONE ; ; COURSE IS OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 120 & 125 MEET TOGETHER. ENROL INEITHER LC 401 OR 402 & ANY LA 801-806,section_listing,,La 806,F,Restificar,bldg_and_rm,BOL,262
root,course_listing,,416-125,THE CHALLENGE OF OUR PHYSICAL ENVIRONMENT,3or4,U,; (NS) NOT OPEN FOR CR TO STUDENTS WITH CR IN GEOG 120 OR 121 OR 122. PREREQ: NONE ; ; COURSE OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 125 & 120 MEET TOGETHER. ENROL IN EITHER LC 401 OR 402 & ANY DS 701-705,section_listing,,Ds 701,M,Chenoweth,bldg_and_rm,BOL,262
root,course_listing,,416-125,THE CHALLENGE OF OUR PHYSICAL ENVIRONMENT,3or4,U,; (NS) NOT OPEN FOR CR TO STUDENTS WITH CR IN GEOG 120 OR 121 OR 122. PREREQ: NONE ; ; COURSE OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 125 & 120 MEET TOGETHER. ENROL IN EITHER LC 401 OR 402 & ANY DS 701-705,section_listing,,Ds 702,T,Chenoweth,bldg_and_rm,BOL,262
root,course_listing,,416-125,THE CHALLENGE OF OUR PHYSICAL ENVIRONMENT,3or4,U,; (NS) NOT OPEN FOR CR TO STUDENTS WITH CR IN GEOG 120 OR 121 OR 122. PREREQ: NONE ; ; COURSE OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 125 & 120 MEET TOGETHER. ENROL IN EITHER LC 401 OR 402 & ANY DS 701-705,section_listing,,Ds 703,W,Chenoweth,bldg_and_rm,BOL,262
root,course_listing,,416-125,THE CHALLENGE OF OUR PHYSICAL ENVIRONMENT,3or4,U,; (NS) NOT OPEN FOR CR TO STUDENTS WITH CR IN GEOG 120 OR 121 OR 122. PREREQ: NONE ; ; COURSE OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 125 & 120 MEET TOGETHER. ENROL IN EITHER LC 401 OR 402 & ANY DS 701-705,section_listing,,Ds 704,R,Chenoweth,bldg_and_rm,BOL,262
root,course_listing,,416-125,THE CHALLENGE OF OUR PHYSICAL ENVIRONMENT,3or4,U,; (NS) NOT OPEN FOR CR TO STUDENTS WITH CR IN GEOG 120 OR 121 OR 122. PREREQ: NONE ; ; COURSE OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 125 & 120 MEET TOGETHER. ENROL IN EITHER LC 401 OR 402 & ANY DS 701-705,section_listing,,Ds 705,F,Chenoweth,bldg_and_rm,BOL,262
