root,course_listing,note,course,title,credits,level,restrictions,section_listing,section_note,section,days,instructor,hours,start,end
root,course_listing,#+,397-405,ISSUES IN PROFESSIONAL NURSING,3,U,; ; PREREQ: FNDNURS 300(P); FNDNURS/HLTHRST 442(C) OR CONS INSTR ; ; THE SCHOOL OF NURSING RESERVES THE RIGHT TO DROP OTHER STUDENTS FROM SECTIONS IF THEIR REGISTRATION WOULD MAKE IT IMPOSSIBLE FOR ALL TO ENROL,section_listing,,Se 001,M,Cowles,hours,9:00am,11:50am
root,course_listing,#+,397-405,ISSUES IN PROFESSIONAL NURSING,3,U,; ; PREREQ: FNDNURS 300(P); FNDNURS/HLTHRST 442(C) OR CONS INSTR ; ; THE SCHOOL OF NURSING RESERVES THE RIGHT TO DROP OTHER STUDENTS FROM SECTIONS IF THEIR REGISTRATION WOULD MAKE IT IMPOSSIBLE FOR ALL TO ENROL,section_listing,,Se 002,M,Bitzan,hours,12:30pm,3:20pm
root,course_listing,#+,397-405,ISSUES IN PROFESSIONAL NURSING,3,U,; ; PREREQ: FNDNURS 300(P); FNDNURS/HLTHRST 442(C) OR CONS INSTR ; ; THE SCHOOL OF NURSING RESERVES THE RIGHT TO DROP OTHER STUDENTS FROM SECTIONS IF THEIR REGISTRATION WOULD MAKE IT IMPOSSIBLE FOR ALL TO ENROL,section_listing,,Se 003,M,Wilk,hours,9:00am,11:50am
root,course_listing,,397-801,FOUNDATIONS OF NURSING INQUIRY,3,G,; ; NOT OPEN TO STUDENTS WHO HAVE CR IN HLTHMNT OR HLTHRST 801, WHICH ARE IDENTICAL TO FNDNURS 801. PREREQ: ADMIS TO DOCTORAL PROG IN NURSING OR CONS INSTR,section_listing,,Se 001,M,Rodgers,hours,9:00am,11:50am
root,course_listing,,397-803,NURSING SCIENCE AND PUBLIC POLICY,2,G,; ; NOT OPEN TO STUDENTS WHO HAVE CR IN HLTHMNT OR HLTHRST 803, WHICH ARE IDENTICAL TO FNDNURS 803. PREREQ: FNDNURS, HLTHMNT, OR HLTHRST 801, OR CONS INSTR,section_listing,,Se 001,M,Lundeen,hours,2:00pm,3:50pm
root,course_listing,,397-883,QUANTITATIVE APPROACHS TO NURSING RESEARCH,3,G,; ; NOT OPEN TO STUDENTS WHO HAVE CR IN HLTHMNT OR HLTHRST 883, WHICH ARE IDENTICAL TO FNDNURS 883. PREREQ: FNDNURS 725 OR EQUIV; FNDNURS, HLTHMNT, OR HLTHRST 881; MULTIVARIATE STATISTICS; OR CONS INSTR; FNDNURS 725(NP), 881(NP), HLTHMNT 881(NP), HLTHRST 881(NP),section_listing,e,Se 001,M,Devine,hours,4:30pm,7:10pm
root,course_listing,,400-103,FIRST-SEMESTER FRENCH,4,U,; ; MAY NOT BE COMBINED FOR CR WITH FRENCH 101 OR 102. PREREQ: NONE ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801,section_listing,,Se 001,MTWF,Alkhas,hours,,10:30am
root,course_listing,,400-103,FIRST-SEMESTER FRENCH,4,U,; ; MAY NOT BE COMBINED FOR CR WITH FRENCH 101 OR 102. PREREQ: NONE ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801,section_listing,,Se 002,MTWF,Swenson,hours,,12:30pm
root,course_listing,,400-103,FIRST-SEMESTER FRENCH,4,U,; ; MAY NOT BE COMBINED FOR CR WITH FRENCH 101 OR 102. PREREQ: NONE ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801,section_listing,e,Se 003,MW,Lemke,hours,6:30pm,8:10pm
root,course_listing,,400-103,FIRST-SEMESTER FRENCH,4,U,; ; MAY NOT BE COMBINED FOR CR WITH FRENCH 101 OR 102. PREREQ: NONE ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801,section_listing,,Se 004,MTWF,Lemke,hours,,1:30pm
root,course_listing,,400-103,FIRST-SEMESTER FRENCH,4,U,; ; MAY NOT BE COMBINED FOR CR WITH FRENCH 101 OR 102. PREREQ: NONE ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801,section_listing,,La 801,R,Alkhas,hours,,10:30am
root,course_listing,,400-103,FIRST-SEMESTER FRENCH,4,U,; ; MAY NOT BE COMBINED FOR CR WITH FRENCH 101 OR 102. PREREQ: NONE ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801,section_listing,,La 802,R,Swenson,hours,,12:30pm
root,course_listing,,400-103,FIRST-SEMESTER FRENCH,4,U,; ; MAY NOT BE COMBINED FOR CR WITH FRENCH 101 OR 102. PREREQ: NONE ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801,section_listing,e,La 803,W,Lemke,hours,,5:30pm
root,course_listing,,400-103,FIRST-SEMESTER FRENCH,4,U,; ; MAY NOT BE COMBINED FOR CR WITH FRENCH 101 OR 102. PREREQ: NONE ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801,section_listing,,La 804,R,Lemke,hours,,1:30pm
root,course_listing,,400-104,SECOND-SEMESTER FRENCH,4,U,; ; PREREQ: FRENCH 102(P) OR 103(P) OR PLACEMENT. ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801 L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,,Se 001,TWRF,Swenson,hours,,9:30am
root,course_listing,,400-104,SECOND-SEMESTER FRENCH,4,U,; ; PREREQ: FRENCH 102(P) OR 103(P) OR PLACEMENT. ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801 L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,e,Se 002,MW,McCuskey,hours,5:30pm,7:10pm
root,course_listing,,400-104,SECOND-SEMESTER FRENCH,4,U,; ; PREREQ: FRENCH 102(P) OR 103(P) OR PLACEMENT. ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801 L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,,Se 003,MTWF,McCuskey,hours,,11:30am
root,course_listing,,400-104,SECOND-SEMESTER FRENCH,4,U,; ; PREREQ: FRENCH 102(P) OR 103(P) OR PLACEMENT. ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801 L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,,La 801,M,Swenson,hours,,9:30am
root,course_listing,,400-104,SECOND-SEMESTER FRENCH,4,U,; ; PREREQ: FRENCH 102(P) OR 103(P) OR PLACEMENT. ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801 L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,e,La 802,W,McCuskey,hours,,7:30pm
root,course_listing,,400-104,SECOND-SEMESTER FRENCH,4,U,; ; PREREQ: FRENCH 102(P) OR 103(P) OR PLACEMENT. ; ; ENROL IN SE & LA WITH CORRESPONDING NUMBER. EXAMPLE: SE 001 ENROL IN LA 801 L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,,La 803,R,McCuskey,hours,,11:30am
root,course_listing,,400-203,THIRD-SEMESTER FRENCH,3,U,; ; PREREQ: FRENCH 104(P) OR PLACEMENT; FRENCH 213(R) ; ; L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,,Se 001,MWF,Dermond,hours,,9:30am
root,course_listing,,400-203,THIRD-SEMESTER FRENCH,3,U,; ; PREREQ: FRENCH 104(P) OR PLACEMENT; FRENCH 213(R) ; ; L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,,Se 002,MWF,Santori,hours,,10:30am
root,course_listing,,400-203,THIRD-SEMESTER FRENCH,3,U,; ; PREREQ: FRENCH 104(P) OR PLACEMENT; FRENCH 213(R) ; ; L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,e,Se 003,TR,Bengloan,hours,5:00pm,6:15pm
root,course_listing,,400-204,FOURTH-SEMESTER FRENCH,3,U,; ; PREREQ: FRENCH 203(P) OR PLACEMENT; FRENCH 213(R). ; ; L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,,Se 001,MWF,Hicks,hours,,9:30am
root,course_listing,,400-204,FOURTH-SEMESTER FRENCH,3,U,; ; PREREQ: FRENCH 203(P) OR PLACEMENT; FRENCH 213(R). ; ; L&S CREDIT FOR EQUIVALENT PREPARATION,section_listing,,Se 002,MWF,Menon,hours,,11:30am
root,course_listing,,400-297,STUDY ABROAD,1-12,U,; ; RETAKABLE W/CHG IN TOPIC. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182,section_listing,,Se 101,,Faculty,hours,,To be Arranged
root,course_listing,,400-303,CONVERSATION AND COMPOSITION: SECOND-YEAR LEVEL,3,U,; (HU) PREREQ: FRENCH 204(P) OR PLACEMENT; FRENCH 213(R) ; (215) ;,section_listing,,Se 001,MWF,Kuiper,hours,,10:30am
root,course_listing,,400-322,APPROACHES TO POETRY AND FICTION,3,U,; (HU) PREREQ: FRENCH 303(215)(P) OR CONS DEPT CHAIR,section_listing,,Se 001,MWF,Mileham,hours,,10:30am
root,course_listing,,400-325,INTENSIVE GRAMMAR AND USAGE,3,U,; ; PREREQ: FRENCH 303(215)(P) OR CONS DEPT CHAIR; FRENCH 213(R),section_listing,,Se 001,MWF,Turcat,hours,,11:30am
root,course_listing,,400-327,CONTEMPORARY FRENCH LANGUAGE AND CULTURE,3,U,; (HU) PREREQ: FRENCH 303(215)(P) OR CONS DEPT CHAIR,section_listing,,Se 001,T
      R,Alkhas
      Alkhas,hours,12:30pm,1:45pm 
          12:30pm
root,course_listing,,400-392,PHONETICS,3,U,; ; REQUIRED OF TEACHING MAJORS & MINORS. PREREQ: FRENCH 303(215)(P) OR CONS DEPT CHAIR,section_listing,e,Se 001,TR,Kuiper,hours,4:30pm,5:45pm
root,course_listing,,400-397,STUDY ABROAD,1-12,U,; ; RETAKABLE W/CHG IN TOPIC. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182,section_listing,,Se 101,,Faculty,hours,,To be Arranged
root,course_listing,,400-425,INTRODUCTION TO TRANSLATION,3,U/G,; ; PREREQ: FRENCH 325(P) & 327(P) OR EQUIV,section_listing,e,Se 001,MW,Velguth,hours,4:30pm,5:45pm
root,course_listing,,400-429,FRENCH CULTURE FROM THE MIDDLE AGES TO THE FRENCH REVOLUTION (=),3,U/G,; (649) PREREQ: JR ST; TWO 300-LEVEL FRENCH LIT OR CULTURE (CIV) COURSES,section_listing,,Se 001,T
      R,Verdier
      Verdier,hours,1:30pm,2:45pm 
          1:30pm
root,course_listing,#+,216-796,COMPETITION AND STRATEGY,2,G,; ; PREREQ: GRAD ST; BUS ADM 792(P),section_listing,e,Se 001,W,Yasai,hours,7:30pm,9:10pm
root,course_listing,,400-497,STUDY ABROAD,1-12,U,; ; RETAKABLE W/CHG IN TOPIC. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182,section_listing,,Se 101,,Faculty,hours,,To be Arranged
root,course_listing,#,400-706,PRACTICUM IN FRENCH LANGUAGE METHODOLOGY AND PEDAGOGY,1,G,; ; RETAKABLE TO 2 CR MAX. PREREQ: GRAD ST; MAFLL 706(C) OR CONS INSTR,section_listing,,Se 001,,Kuiper,hours,,To be Arranged
root,course_listing,,416-105,INTRODUCTION TO CULTURAL AND HISTORICAL GEOGRAPHY,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE,section_listing,,Se 001,MWF,Edwards,hours,,8:30am
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,,Lc 401,TR,Ottone,hours,,9:30am
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,e,Lc 402,W,Zimmerman,hours,4:30pm,6:10pm
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,,Ds 601,T,Bump,hours,,8:30am
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,,Ds 602,T,Escott,hours,,10:30am
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,e,Ds 603,T,Escott,hours,,4:30pm
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,e,Ds 604,T,Escott,hours,,5:30pm
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,,Ds 605,W,Bump,hours,,10:30am
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,,Ds 606,R,Bump,hours,,8:30am
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,,Ds 607,R,Bump,hours,,10:30am
root,course_listing,,416-110,THE WORLD-PEOPLES & REGIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-608,section_listing,e,Ds 608,W,Escott,hours,,6:30pm
root,course_listing,,416-114,GEOGRAPHY OF MINORITIES IN THE UNITED STATES,3,U,; (SS&amp;) PREREQ: NONE,section_listing,,Se 001,TR,Zimmerman,hours,11:05am,12:20pm
root,course_listing,,416-120,OUR PHYSICAL ENVIRONMENT,3-4,U,; (NS+) NOT OPEN FOR CR TO STUDENTS W/CR IN GEOG 121(ER), 122(ER), OR 125(ER). REQUIRED ALL-DAY FIELD TRIP FOR WHICH FEE IS ASSESSED. PREREQ: NONE ; ; COURSE IS OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 120 & 125 MEET TOGETHER. ENROL INEITHER LC 401 OR 402 & ANY LA 801-806,section_listing,,La 801,M,Mujica,hours,12:30pm,2:20pm
root,course_listing,,416-120,OUR PHYSICAL ENVIRONMENT,3-4,U,; (NS+) NOT OPEN FOR CR TO STUDENTS W/CR IN GEOG 121(ER), 122(ER), OR 125(ER). REQUIRED ALL-DAY FIELD TRIP FOR WHICH FEE IS ASSESSED. PREREQ: NONE ; ; COURSE IS OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 120 & 125 MEET TOGETHER. ENROL INEITHER LC 401 OR 402 & ANY LA 801-806,section_listing,e,La 802,T,Armstrong,hours,7:30pm,9:20pm
root,course_listing,,416-120,OUR PHYSICAL ENVIRONMENT,3-4,U,; (NS+) NOT OPEN FOR CR TO STUDENTS W/CR IN GEOG 121(ER), 122(ER), OR 125(ER). REQUIRED ALL-DAY FIELD TRIP FOR WHICH FEE IS ASSESSED. PREREQ: NONE ; ; COURSE IS OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 120 & 125 MEET TOGETHER. ENROL INEITHER LC 401 OR 402 & ANY LA 801-806,section_listing,,La 803,W,Restificar,hours,8:30am,10:20am
root,course_listing,,416-120,OUR PHYSICAL ENVIRONMENT,3-4,U,; (NS+) NOT OPEN FOR CR TO STUDENTS W/CR IN GEOG 121(ER), 122(ER), OR 125(ER). REQUIRED ALL-DAY FIELD TRIP FOR WHICH FEE IS ASSESSED. PREREQ: NONE ; ; COURSE IS OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 120 & 125 MEET TOGETHER. ENROL INEITHER LC 401 OR 402 & ANY LA 801-806,section_listing,,La 804,R,Armstrong,hours,11:30am,1:20pm
root,course_listing,,416-120,OUR PHYSICAL ENVIRONMENT,3-4,U,; (NS+) NOT OPEN FOR CR TO STUDENTS W/CR IN GEOG 121(ER), 122(ER), OR 125(ER). REQUIRED ALL-DAY FIELD TRIP FOR WHICH FEE IS ASSESSED. PREREQ: NONE ; ; COURSE IS OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 120 & 125 MEET TOGETHER. ENROL INEITHER LC 401 OR 402 & ANY LA 801-806,section_listing,e,La 805,R,Mujica,hours,4:30pm,6:20pm
root,course_listing,,416-120,OUR PHYSICAL ENVIRONMENT,3-4,U,; (NS+) NOT OPEN FOR CR TO STUDENTS W/CR IN GEOG 121(ER), 122(ER), OR 125(ER). REQUIRED ALL-DAY FIELD TRIP FOR WHICH FEE IS ASSESSED. PREREQ: NONE ; ; COURSE IS OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 120 & 125 MEET TOGETHER. ENROL INEITHER LC 401 OR 402 & ANY LA 801-806,section_listing,,La 806,F,Restificar,hours,10:30am,12:20pm
root,course_listing,,416-125,THE CHALLENGE OF OUR PHYSICAL ENVIRONMENT,3or4,U,; (NS) NOT OPEN FOR CR TO STUDENTS WITH CR IN GEOG 120 OR 121 OR 122. PREREQ: NONE ; ; COURSE OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 125 & 120 MEET TOGETHER. ENROL IN EITHER LC 401 OR 402 & ANY DS 701-705,section_listing,,Ds 701,M,Chenoweth,hours,,11:30am
root,course_listing,,416-125,THE CHALLENGE OF OUR PHYSICAL ENVIRONMENT,3or4,U,; (NS) NOT OPEN FOR CR TO STUDENTS WITH CR IN GEOG 120 OR 121 OR 122. PREREQ: NONE ; ; COURSE OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 125 & 120 MEET TOGETHER. ENROL IN EITHER LC 401 OR 402 & ANY DS 701-705,section_listing,,Ds 702,T,Chenoweth,hours,,11:30am
root,course_listing,,416-125,THE CHALLENGE OF OUR PHYSICAL ENVIRONMENT,3or4,U,; (NS) NOT OPEN FOR CR TO STUDENTS WITH CR IN GEOG 120 OR 121 OR 122. PREREQ: NONE ; ; COURSE OFFERED FOR 3 CR ONLY THIS SEMESTER. LECTURES FOR GEOG 125 & 120 MEET TOGETHER. ENROL IN EITHER LC 401 OR 402 & ANY DS 701-705,section_listing,,Ds 703,W,Chenoweth,hours,,11:30am
