table,table ID,T,O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDER-PRIORITY,O_CLERK,O_SHIP-PRIORITY,O_COMMENT
table,orders,T,229,1118,F,195619.74,1993-12-29,1-URGENT,Clerk#000000628,0,blithely thin requests along the fluffily regular packages e
table,orders,T,230,1027,F,147711.01,1993-10-27,1-URGENT,Clerk#000000520,0,ironic, silent tithes wake carefully until the even theodolites. special
table,orders,T,231,910,F,234383.86,1994-09-29,2-HIGH,Clerk#000000446,0,express requests use always at the unusual deposits. silently final acc
table,orders,T,256,1249,F,132718.67,1993-10-19,4-NOT SPECIFIED,Clerk#000000834,0,special dependencies boost furiously. pendin
table,orders,T,257,1228,O,9255.12,1998-03-28,3-MEDIUM,Clerk#000000680,0,final, regular packages nag furiously fluffily f
table,orders,T,258,419,F,259466.78,1993-12-29,1-URGENT,Clerk#000000167,0,regularly ironic grouches against the quickly express p
table,orders,T,259,433,F,110611.59,1993-09-29,4-NOT SPECIFIED,Clerk#000000601,0,ironic packages haggle among the furiously brave deposits. final, final d
table,orders,T,260,1048,O,268084.69,1996-12-10,3-MEDIUM,Clerk#000000960,0,quickly special ideas against the furiously final accounts affix deposits. sl
table,orders,T,261,461,F,278279.30,1993-06-29,3-MEDIUM,Clerk#000000310,0,final accounts nag fluffily about
table,orders,T,262,304,O,173401.63,1995-11-25,4-NOT SPECIFIED,Clerk#000000551,0,express, regular theodolites wake special instructions. slyly express 
table,orders,T,263,1162,F,104961.32,1994-05-17,2-HIGH,Clerk#000000088,0,fluffily final ideas use quickly slyly final foxes? fluffily express dolphi
table,orders,T,288,71,O,239366.68,1997-02-21,1-URGENT,Clerk#000000109,0,quickly ruthless instructions cajole 
table,orders,T,289,1039,O,174624.55,1997-02-10,3-MEDIUM,Clerk#000000103,0,slyly express excuses d
table,orders,T,290,1180,F,67636.54,1994-01-01,4-NOT SPECIFIED,Clerk#000000735,0,pending instructions against the furiously express d
table,orders,T,291,1411,F,88375.89,1994-03-13,1-URGENT,Clerk#000000923,0,express requests according to the carefully regular deposits run
table,orders,T,292,223,F,54152.77,1992-01-13,2-HIGH,Clerk#000000193,0,furiously special theodolites wake blith
table,orders,T,293,301,F,46128.56,1992-10-02,2-HIGH,Clerk#000000629,0,regular instructions grow bold, u
table,orders,T,294,505,F,46889.54,1993-07-16,3-MEDIUM,Clerk#000000499,0,idly ironic deposits must have to haggle deposits. blithel
table,orders,T,295,190,F,148569.49,1994-09-29,2-HIGH,Clerk#000000155,0,doggedly final requests nag carefull
table,orders,T,320,4,O,50202.60,1997-11-21,2-HIGH,Clerk#000000573,0,carefully silent ideas do solve final, express instructions. quickly final p
table,orders,T,321,1226,F,73024.50,1993-03-21,3-MEDIUM,Clerk#000000289,0,quickly silent requests affix sl
table,orders,T,322,1336,F,165992.05,1992-03-19,1-URGENT,Clerk#000000158,0,carefully unusual pinto beans lose carefully. even instructions ac
table,orders,T,323,392,F,121127.17,1994-03-26,1-URGENT,Clerk#000000959,0,even, regular instructions
table,orders,T,324,1052,F,46327.90,1992-03-20,1-URGENT,Clerk#000000352,0,regular theodolites boost quickly along the ironic, quick realms.
table,orders,T,325,401,F,94638.59,1993-10-17,5-LOW,Clerk#000000844,0,carefully fluffy forges about the express, ir
table,orders,T,326,760,O,325448.68,1995-06-04,2-HIGH,Clerk#000000466,0,regular theodolites was car
table,orders,T,327,1447,P,32302.12,1995-04-17,5-LOW,Clerk#000000992,0,fluffily ironic deposits across the ironically regular ideas are 
table,orders,T,352,1066,F,25542.02,1994-03-08,2-HIGH,Clerk#000000932,0,regular, regular pinto beans haggle sly
table,orders,T,353,19,F,224983.69,1993-12-31,5-LOW,Clerk#000000449,0,even ideas haggle excuses? slyly ironic packages wake alongside of the qu
table,orders,T,354,1384,O,231311.22,1996-03-14,2-HIGH,Clerk#000000511,0,quickly special packages inside the slyly unusual pain
table,orders,T,355,701,F,103949.82,1994-06-14,5-LOW,Clerk#000000532,0,carefully even instructio
table,orders,T,356,1469,F,189160.02,1994-06-30,4-NOT SPECIFIED,Clerk#000000944,0,fluffily pending theo
table,orders,T,357,604,O,138936.83,1996-10-09,2-HIGH,Clerk#000000301,0,carefully bold theodolites cajole f
table,orders,T,358,23,F,362024.17,1993-09-20,2-HIGH,Clerk#000000392,0,deposits sublate carefully at t
table,orders,T,359,776,F,214770.97,1994-12-19,3-MEDIUM,Clerk#000000934,0,furiously final foxes are. regular,
table,orders,T,384,1132,F,191275.12,1992-03-03,5-LOW,Clerk#000000206,0,regular packages haggle furiously; idle requests wake carefu
table,orders,T,385,331,O,75866.47,1996-03-22,5-LOW,Clerk#000000600,0,asymptotes wake silent, silent
table,orders,T,386,602,F,119718.02,1995-01-25,2-HIGH,Clerk#000000648,0,quickly pending instructions unwind furiously theodolites. final package
table,orders,T,387,34,O,197839.44,1997-01-26,4-NOT SPECIFIED,Clerk#000000768,0,blithely even accounts according to the even packag
table,orders,T,388,448,F,161560.04,1992-12-16,4-NOT SPECIFIED,Clerk#000000356,0,accounts wake against the braids. silent accounts snooze slyly blithely ironi
table,orders,T,389,1270,F,3266.69,1994-02-17,2-HIGH,Clerk#000000062,0,pending, bold packages boost blithely final package
table,orders,T,390,1027,O,232256.36,1998-04-07,5-LOW,Clerk#000000404,0,blithely even pinto beans against the ironic packages boost qu
table,orders,T,391,1103,F,14517.91,1994-11-17,2-HIGH,Clerk#000000256,0,furiously special deposits wake blithely. qu
table,orders,T,416,403,F,106818.50,1993-09-27,5-LOW,Clerk#000000294,0,excuses boost permanently around the carefully pe
table,orders,T,417,547,F,132531.73,1994-02-06,3-MEDIUM,Clerk#000000468,0,pending, regular pinto beans after the final, express accounts boost
table,orders,T,418,949,P,39431.46,1995-04-13,4-NOT SPECIFIED,Clerk#000000643,0,quiet, bold ideas a
table,orders,T,419,1163,O,159079.22,1996-10-01,3-MEDIUM,Clerk#000000376,0,accounts sleep quickly slyly bo
table,orders,T,420,902,O,269064.47,1995-10-31,4-NOT SPECIFIED,Clerk#000000756,0,slyly final deposits sublate after the quickly pending deposits
table,orders,T,421,392,F,1292.21,1992-02-22,5-LOW,Clerk#000000405,0,ironic, even account
table,orders,T,422,731,O,155533.71,1997-05-31,4-NOT SPECIFIED,Clerk#000000049,0,carefully even packages use
table,orders,T,423,1034,O,31900.60,1996-06-01,1-URGENT,Clerk#000000674,0,blithely unusual dugouts play quickly along the blithely regular theo
table,orders,T,448,1498,O,157247.56,1995-08-21,3-MEDIUM,Clerk#000000597,0,furiously even requests nag carefully. 
table,orders,T,449,958,O,55082.33,1995-07-20,2-HIGH,Clerk#000000841,0,final, express requests sleep permanent requests. spe
table,orders,T,450,475,P,213638.07,1995-03-05,4-NOT SPECIFIED,Clerk#000000293,0,deposits wake regular, ironic instructions. bli
table,orders,T,451,988,O,142756.81,1998-05-25,5-LOW,Clerk#000000048,0,final foxes nag. regul
table,orders,T,452,596,O,2072.79,1997-10-14,1-URGENT,Clerk#000000498,0,theodolites should n
table,orders,T,453,442,O,343004.49,1997-05-26,5-LOW,Clerk#000000504,0,furiously even deposits use inside the excuses.
table,orders,T,454,488,O,24543.95,1995-12-27,5-LOW,Clerk#000000890,0,fluffily final accounts after the special, ironic pinto 
table,orders,T,455,121,O,190711.32,1996-12-04,1-URGENT,Clerk#000000796,0,even instructions hagg
table,orders,T,480,715,F,30644.49,1993-05-08,5-LOW,Clerk#000000004,0,final accounts poach carefully. quickly final platelets boost quickly even ide
table,orders,T,481,304,F,160370.14,1992-10-08,2-HIGH,Clerk#000000230,0,ruthlessly ironic packages nag furiously across the slyly regula
table,orders,T,482,1252,O,197194.23,1996-03-26,1-URGENT,Clerk#000000295,0,blithely regular as
table,orders,T,483,349,O,66194.38,1995-07-11,2-HIGH,Clerk#000000025,0,bold theodolites sl
table,orders,T,484,544,O,331553.32,1997-01-03,3-MEDIUM,Clerk#000000545,0,fluffily even deposits run foxes; regular packages afte
table,orders,T,485,1006,O,142389.70,1997-03-26,2-HIGH,Clerk#000000105,0,regular, bold asymptotes sleep boldly. carefu
table,orders,T,486,509,O,286150.09,1996-03-11,4-NOT SPECIFIED,Clerk#000000803,0,quickly final foxes across the expre
table,orders,T,487,1079,F,88805.07,1992-08-18,1-URGENT,Clerk#000000086,0,ironic, express pinto be
table,orders,T,512,631,P,183939.48,1995-05-20,5-LOW,Clerk#000000814,0,quickly unusual foxes was fluffily slyly even accounts. pac
table,orders,T,513,607,O,78769.71,1995-05-01,2-HIGH,Clerk#000000522,0,always final sentiments haggle furiously around the fluffily ruthles
table,orders,T,514,749,O,123202.51,1996-04-04,2-HIGH,Clerk#000000094,0,enticingly quick escapades wake slyly. final acc
table,orders,T,515,1420,F,177231.12,1993-08-29,4-NOT SPECIFIED,Clerk#000000700,0,slyly unusual ideas subla
table,orders,T,516,440,O,13277.79,1998-04-21,2-HIGH,Clerk#000000305,0,quickly final foxes accord
table,orders,T,517,94,O,109269.47,1997-04-07,5-LOW,Clerk#000000359,0,deposits wake always slyly regular requests. blithely 
table,orders,T,518,1444,O,335285.37,1998-02-08,2-HIGH,Clerk#000000768,0,slyly even ideas hang quickly. carefully final instructi
table,orders,T,519,631,O,109395.60,1997-10-31,1-URGENT,Clerk#000000985,0,quick depths are! slyly express requests along the carefully ironic 
table,orders,T,544,934,F,58960.45,1993-02-17,2-HIGH,Clerk#000000145,0,slyly ironic attainments sleep blith
table,orders,T,545,632,O,35129.54,1995-11-07,2-HIGH,Clerk#000000537,0,even, regular packa
table,orders,T,546,1433,O,26227.74,1996-11-01,2-HIGH,Clerk#000000041,0,final notornis detect slyly fluffily express deposits. brav
table,orders,T,547,983,O,137852.72,1996-06-22,3-MEDIUM,Clerk#000000976,0,bold instructions print fluffily carefully id
table,orders,T,548,1240,F,139094.89,1994-09-21,1-URGENT,Clerk#000000435,0,quickly regular accounts daz
table,orders,T,549,1100,F,211787.30,1992-07-13,1-URGENT,Clerk#000000196,0,carefully regular foxes integrate ironic, fina
table,orders,T,550,236,O,54818.45,1995-08-02,1-URGENT,Clerk#000000204,0,carefully even asymptotes sleep furiously sp
table,orders,T,551,898,O,64301.40,1995-05-30,1-URGENT,Clerk#000000179,0,unusual, final accounts use above the special excuses. final depo
table,orders,T,576,296,O,24722.97,1997-05-13,3-MEDIUM,Clerk#000000955,0,pending theodolites about the carefu
table,orders,T,577,553,F,47860.53,1994-12-19,5-LOW,Clerk#000000154,0,blithely unusual packages sl
table,orders,T,578,926,O,103543.00,1997-01-10,5-LOW,Clerk#000000281,0,blithely pending asymptotes wake quickly across the carefully final
table,orders,T,579,671,O,146610.11,1998-03-11,2-HIGH,Clerk#000000862,0,slyly even requests cajole slyly. sil
table,orders,T,580,593,O,144557.44,1997-07-05,2-HIGH,Clerk#000000314,0,final ideas must have to are carefully quickly furious requests
table,orders,T,581,688,O,175985.28,1997-02-23,4-NOT SPECIFIED,Clerk#000000239,0,carefully regular dolphins cajole ruthlessl
table,orders,T,582,494,O,181813.20,1997-10-21,1-URGENT,Clerk#000000378,0,quietly ironic pinto beans wake carefully. ironic accounts across the dol
table,orders,T,583,472,O,154731.76,1997-03-19,3-MEDIUM,Clerk#000000792,0,blithely final accounts can use. even, final packages thrash 
table,orders,T,608,260,O,100151.20,1996-02-28,3-MEDIUM,Clerk#000000995,0,carefully ironic dinos
table,orders,T,609,1252,F,33980.88,1994-06-01,3-MEDIUM,Clerk#000000348,0,furiously final braids cajole quickly accounts. regul
table,orders,T,610,508,O,229411.94,1995-08-02,1-URGENT,Clerk#000000610,0,slyly special instructions use slyly abo
table,orders,T,611,1055,F,83388.31,1993-01-27,1-URGENT,Clerk#000000401,0,instructions are furiously despite the slyly special pla
table,orders,T,612,815,F,232560.07,1992-10-21,3-MEDIUM,Clerk#000000759,0,bold pinto beans wake furiously pinto beans. pending pinto beans poac
table,orders,T,613,1384,O,56355.92,1995-06-18,2-HIGH,Clerk#000000172,0,carefully pending packages are bravely am
table,orders,T,614,1333,F,325942.94,1992-12-01,2-HIGH,Clerk#000000388,0,final dolphins nod. slyly ironic fo
table,orders,T,615,655,F,30990.93,1992-05-09,5-LOW,Clerk#000000388,0,slyly express instructions alongside of the q
table,orders,T,640,952,F,210229.36,1993-01-23,2-HIGH,Clerk#000000433,0,theodolites cajole slyly among the even excuses. unusual theodolites 
table,orders,T,641,1330,F,175084.81,1993-08-30,5-LOW,Clerk#000000175,0,final packages haggle carefully. brave foxes sleep blithel
table,orders,T,642,400,F,34647.34,1993-12-16,3-MEDIUM,Clerk#000000357,0,quickly unusual theodolites sleep. regular pinto beans affix theodol
table,orders,T,643,578,P,261882.19,1995-03-25,2-HIGH,Clerk#000000354,0,requests cajole. ruthlessly even frays sleep slyly pending ideas. careful
table,orders,T,644,74,F,267079.41,1992-05-01,1-URGENT,Clerk#000000550,0,carefully regular dependencies lose quickl
table,orders,T,645,1144,F,350110.21,1994-12-03,2-HIGH,Clerk#000000090,0,fluffily express accounts cajole request
table,orders,T,646,505,F,192105.59,1994-11-22,2-HIGH,Clerk#000000203,0,express, ironic packages are quickly. fluffi
table,orders,T,647,1430,O,67696.52,1997-08-07,1-URGENT,Clerk#000000270,0,regular packages could b
table,orders,T,672,1081,F,128581.82,1994-04-14,5-LOW,Clerk#000000106,0,thinly special deposits use s
table,orders,T,673,793,F,34950.94,1994-03-10,1-URGENT,Clerk#000000448,0,blithely bold foxes should have to sleep quickly ca
table,orders,T,674,332,F,27390.00,1992-08-29,5-LOW,Clerk#000000448,0,slyly ironic courts will na
table,orders,T,675,118,O,166843.13,1997-07-31,2-HIGH,Clerk#000000168,0,fluffily special accounts sublate packages. furiously express package
table,orders,T,676,380,O,254171.66,1996-12-13,2-HIGH,Clerk#000000248,0,ironic pinto beans above the
table,orders,T,677,1240,F,205917.22,1993-11-24,3-MEDIUM,Clerk#000000824,0,carefully furious packages after the furiously ironic requests x-ray bli
table,orders,T,678,1307,F,208791.37,1993-02-27,5-LOW,Clerk#000000530,0,furiously regular foxe
table,orders,T,679,485,O,14905.06,1995-12-15,2-HIGH,Clerk#000000853,0,deposits nag. furiously regular ideas sleep alongside of the even requests. 
table,orders,T,704,844,O,85100.07,1996-11-21,3-MEDIUM,Clerk#000000682,0,furiously regular accounts integrate blithely. carefully unusual pinto beans 
table,orders,T,705,428,O,117587.40,1997-02-13,4-NOT SPECIFIED,Clerk#000000294,0,slyly ironic theodolites according t
table,orders,T,706,1474,O,40836.77,1995-09-09,1-URGENT,Clerk#000000448,0,regular, regular requests wak
table,orders,T,707,1162,F,80722.77,1994-11-20,3-MEDIUM,Clerk#000000199,0,instructions cajole qui
table,orders,T,708,316,O,127925.56,1998-07-03,3-MEDIUM,Clerk#000000101,0,carefully ironic requests thrash
table,orders,T,709,361,O,92115.73,1998-04-21,1-URGENT,Clerk#000000461,0,quickly final excuses sleep quickly. sly
table,orders,T,710,1312,F,309878.50,1993-01-02,5-LOW,Clerk#000000026,0,slyly ironic accounts haggle blithely according to the ideas. regular foxe
table,orders,T,711,637,F,99553.27,1993-09-23,4-NOT SPECIFIED,Clerk#000000856,0,frays use carefully across the carefully express dugouts; slyly busy the
table,orders,T,736,464,O,200720.61,1998-06-21,5-LOW,Clerk#000000881,0,carefully final pinto beans solve slyly 
table,orders,T,737,1198,F,20647.65,1992-04-26,5-LOW,Clerk#000000233,0,blithely regular accounts sublate abou
table,orders,T,738,208,F,177823.89,1993-03-02,4-NOT SPECIFIED,Clerk#000000669,0,ironic, even accounts are furiously final accounts. regular accounts
table,orders,T,739,4,O,226008.80,1998-05-31,5-LOW,Clerk#000000900,0,carefully thin packages against the regular orbits haggle slyly fina
table,orders,T,740,436,O,126713.42,1995-07-16,3-MEDIUM,Clerk#000000583,0,evenly unusual ideas doubt
table,orders,T,741,1045,O,81912.56,1998-07-07,2-HIGH,Clerk#000000295,0,blithely ironic requests
table,orders,T,742,1030,F,258834.44,1994-12-23,5-LOW,Clerk#000000543,0,furiously bold requests cajole. requests sleep qui
table,orders,T,743,784,O,39284.49,1996-10-04,4-NOT SPECIFIED,Clerk#000000933,0,carefully express deposits against the slyly even dugou
table,orders,T,768,971,O,294534.22,1996-08-20,3-MEDIUM,Clerk#000000411,0,furiously regular p
table,orders,T,769,800,F,65622.27,1993-06-02,3-MEDIUM,Clerk#000000172,0,furiously express dependencies sl
table,orders,T,770,320,O,99554.29,1998-05-23,5-LOW,Clerk#000000572,0,quickly bold deposits wake furiously against the
table,orders,T,771,446,O,151561.45,1995-06-17,1-URGENT,Clerk#000000105,0,fluffily regular epitaphs cajole furious
table,orders,T,772,965,F,205442.15,1993-04-17,2-HIGH,Clerk#000000430,0,regularly silent asymptotes wake
table,orders,T,773,1319,F,190734.21,1993-09-26,3-MEDIUM,Clerk#000000307,0,furiously ironic accounts are above the quickly regul
table,orders,T,774,796,O,214484.43,1995-12-04,1-URGENT,Clerk#000000883,0,regular instructions nag carefully blithely even
table,orders,T,775,1333,F,75392.93,1995-03-18,1-URGENT,Clerk#000000191,0,carefully express deposits wake-- quickly even accounts cajol
table,orders,T,800,560,O,144932.63,1998-07-14,2-HIGH,Clerk#000000213,0,slyly ironic gifts over the regular, express ideas cajole quickly among t
table,orders,T,801,1178,F,186160.67,1992-02-18,1-URGENT,Clerk#000000186,0,theodolites sleep above the careful
table,orders,T,802,1367,F,192178.48,1995-01-05,1-URGENT,Clerk#000000516,0,express pinto beans wake across the pending 
table,orders,T,803,145,O,49471.93,1997-04-29,5-LOW,Clerk#000000260,0,blithely pending gifts according to the busy, ironic re
table,orders,T,804,500,F,136844.01,1993-03-12,3-MEDIUM,Clerk#000000931,0,furiously final pinto beans impress careful
table,orders,T,805,1261,O,145879.67,1995-07-05,4-NOT SPECIFIED,Clerk#000000856,0,busy, regular foxes 
table,orders,T,806,1309,O,39072.30,1996-06-20,2-HIGH,Clerk#000000240,0,ironic pinto beans wake quickly acro
table,orders,T,807,1436,F,291066.38,1993-11-24,3-MEDIUM,Clerk#000000012,0,express packages according to the quickly special 
table,orders,T,832,290,F,75549.27,1992-04-19,5-LOW,Clerk#000000495,0,blithely even accounts cajole slyly dolphins; slyly bold requests i
table,orders,T,833,553,F,53948.73,1994-02-13,3-MEDIUM,Clerk#000000437,0,blithely final foxes sleep quickly abo
table,orders,T,834,428,F,57631.12,1994-05-23,3-MEDIUM,Clerk#000000805,0,furiously regular pinto beans are carefully. even
table,orders,T,835,649,O,79671.35,1995-10-08,4-NOT SPECIFIED,Clerk#000000416,0,deposits mold slyly furiously even accounts? slyly ironic re
table,orders,T,836,688,O,103041.70,1996-11-25,4-NOT SPECIFIED,Clerk#000000729,0,slyly unusual deposits affix
table,orders,T,837,1159,F,99107.47,1994-06-15,4-NOT SPECIFIED,Clerk#000000563,0,furiously final instructions use ironic foxes. even packages s
table,orders,T,838,164,O,119122.55,1998-01-29,5-LOW,Clerk#000000213,0,slyly regular ideas cajole. blithely ruthless patterns snooze ag
table,orders,T,839,280,O,109349.68,1995-08-08,1-URGENT,Clerk#000000951,0,blithely express deposits are slyly
table,orders,T,864,1378,O,110290.44,1997-08-17,1-URGENT,Clerk#000000036,0,carefully regular pinto beans wake fluffily. sly
table,orders,T,865,26,F,112126.26,1993-05-04,3-MEDIUM,Clerk#000000337,0,requests are across the regular excuses. final, brave dependencies kindle aro
table,orders,T,866,383,F,5793.01,1992-11-28,3-MEDIUM,Clerk#000000718,0,closely regular dependencies boost fluffily after the pending foxes. carefull
table,orders,T,867,253,F,9271.15,1993-11-16,3-MEDIUM,Clerk#000000877,0,regular, unusual theodolites according to the daringly pending
table,orders,T,868,1036,F,157914.01,1992-06-09,4-NOT SPECIFIED,Clerk#000000782,0,doggedly final theodolites wake furiously qui
table,orders,T,869,1348,O,88458.72,1997-01-12,2-HIGH,Clerk#000000245,0,ironic, regular requests sleep alongside of the regularly regular p
table,orders,T,870,322,F,60182.94,1993-06-20,4-NOT SPECIFIED,Clerk#000000123,0,special, ironic asymptotes
table,orders,T,871,145,O,265450.06,1995-11-15,5-LOW,Clerk#000000882,0,regular deposits across the requests haggle quickly carefully regular somas. b
