metadata,nomenc,nomenc name,nom-item,nom-item code,desc,desc lang
metadata,nomenc,Agency,nom-item,ARTEMIS,Fællesforetagendet ARTEMIS,da
metadata,nomenc,Agency,nom-item,ARTEMIS,Gemeinsames Unternehmen Artemis,de
metadata,nomenc,Agency,nom-item,ARTEMIS,Κοινή επιχείρηση ARTEMIS,el
metadata,nomenc,Agency,nom-item,ARTEMIS,Empresa Común Artemis,es
metadata,nomenc,Agency,nom-item,ARTEMIS,Ühisettevõte ARTEMIS,et
metadata,nomenc,Agency,nom-item,ARTEMIS,ARTEMIS-yhteisyritys,fi
metadata,nomenc,Agency,nom-item,ARTEMIS,Europski fond za prilagodbu globalizaciji (EGF),hr
metadata,nomenc,Agency,nom-item,ARTEMIS,ARTEMIS Közös Vállalkozás,hu
metadata,nomenc,Agency,nom-item,ARTEMIS,Impresa comune ARTEMIS,it
metadata,nomenc,Agency,nom-item,ARTEMIS,Bendroji įmonė ARTEMIS,lt
metadata,nomenc,Agency,nom-item,ARTEMIS,Kopuzņēmums „Artemis”,lv
metadata,nomenc,Agency,nom-item,ARTEMIS,Impriża Konġunta ARTEMIS,mt
metadata,nomenc,Agency,nom-item,ARTEMIS,Gemeenschappelijke onderneming ARTEMIS,nl
metadata,nomenc,Agency,nom-item,ARTEMIS,Wspólne przedsiębiorstwo ARTEMIS,pl
metadata,nomenc,Agency,nom-item,ARTEMIS,Empresa Comum ARTEMIS ,pt
metadata,nomenc,Agency,nom-item,ARTEMIS,Întreprinderea comună ARTEMIS,ro
metadata,nomenc,Agency,nom-item,ARTEMIS,Spoločný podnik ARTEMIS,sk
metadata,nomenc,Agency,nom-item,ARTEMIS,Skupno podjetje Artemis,sl
metadata,nomenc,Agency,nom-item,ARTEMIS,Det gemensamma företaget Artemis,sv
metadata,nomenc,Agency,nom-item,BEREC,Body of European Regulators for Electronic Communications (BEREC) — Office,en
metadata,nomenc,Agency,nom-item,BEREC,Organe des régulateurs européens des communications électroniques (ORECE) — Office,fr
metadata,nomenc,Agency,nom-item,BEREC,Орган на европейските регулатори в областта на електронните съобщения (ОЕРЕС) — Служба,bg
metadata,nomenc,Agency,nom-item,BEREC,Sdružení evropských regulačních orgánů v oblasti elektronických komunikací (BEREC) – úřad,cs
metadata,nomenc,Agency,nom-item,BEREC,Sammenslutningen af Europæiske Tilsynsmyndigheder inden for Elektronisk Kommunikation (BEREC) — støttekontoret,da
metadata,nomenc,Agency,nom-item,BEREC,Gremium europäischer Regulierungsstellen für elektronische Kommunikation (GEREK) — Büro,de
metadata,nomenc,Agency,nom-item,BEREC,Φορέας Ευρωπαϊκών Ρυθμιστικών Αρχών για τις Ηλεκτρονικές Επικοινωνίες (BEREC) — Υπηρεσία,el
metadata,nomenc,Agency,nom-item,BEREC,Organismo de Reguladores Europeos de Comunicaciones Electrónicas (ORECE) — Oficina,es
metadata,nomenc,Agency,nom-item,BEREC,Elektroonilise side Euroopa reguleerivate asutuste ühendatud amet (BEREC) — Büroo,et
metadata,nomenc,Agency,nom-item,BEREC,Euroopan sähköisen viestinnän sääntelyviranomaisten yhteistyöelin (BEREC) — Virasto,fi
metadata,nomenc,Agency,nom-item,BEREC,Fond solidarnosti Europske unije (EUSF),hr
metadata,nomenc,Agency,nom-item,BEREC,Az Európai Elektronikus Hírközlési Szabályozók Testülete (BEREC) – Hivatal,hu
metadata,nomenc,Agency,nom-item,BEREC,Organismo dei regolatori europei delle comunicazioni elettroniche (BEREC) — Ufficio,it
metadata,nomenc,Agency,nom-item,BEREC,Europos elektroninių ryšių reguliuotojų institucija (EERRI) – Biuras,lt
metadata,nomenc,Agency,nom-item,BEREC,Eiropas Elektronisko komunikāciju regulatoru iestāde (BEREC) – Birojs,lv
metadata,nomenc,Agency,nom-item,BEREC,Korp ta’ Regolaturi Ewropej tal-Komunikazzjonijiet Elettroniċi (BEREC) - Uffiċċju,mt
metadata,nomenc,Agency,nom-item,BEREC,Orgaan van Europese regelgevende instanties voor elektronische communicatie (BEREC) — Bureau,nl
metadata,nomenc,Agency,nom-item,BEREC,Organ Europejskich Regulatorów Łączności Elektronicznej (BEREC) — Urząd,pl
metadata,nomenc,Agency,nom-item,BEREC,Organismo de Reguladores Europeus das Comunicações Eletrónicas (ORECE) — Gabinete,pt
metadata,nomenc,Agency,nom-item,BEREC,Organismul autorităților europene de reglementare în domeniul comunicațiilor electronice (OAREC) - Oficiu,ro
metadata,nomenc,Agency,nom-item,BEREC,Orgán európskych regulátorov pre elektronické komunikácie (BEREC) — Úrad,sk
metadata,nomenc,Agency,nom-item,BEREC,Organ evropskih regulatorjev za elektronske komunikacije (BEREC) – Urad,sl
metadata,nomenc,Agency,nom-item,BEREC,Europeiska organet för tillsynsmyndigheter inom elektronisk kommunikation (Berec) — kontor,sv
metadata,nomenc,Agency,nom-item,CDT,Translation Centre for the Bodies of the European Union,en
metadata,nomenc,Agency,nom-item,CDT,Centre de traduction des organes de l'Union européenne,fr
metadata,nomenc,Agency,nom-item,CDT,Център за преводи към органите на Европейския съюз,bg
metadata,nomenc,Agency,nom-item,CDT,Překladatelské středisko pro instituce Evropské unie,cs
metadata,nomenc,Agency,nom-item,CDT,Oversættelsescentret for Den Europæiske Unions Organer,da
metadata,nomenc,Agency,nom-item,CDT,Übersetzungszentrum für die Einrichtungen der Europäischen Union,de
metadata,nomenc,Agency,nom-item,CDT,Μεταφραστικό Κέντρο των Οργάνων της Ευρωπαϊκής Ένωσης,el
metadata,nomenc,Agency,nom-item,CDT,Centro de Traducción de los Órganos de la Unión Europea,es
metadata,nomenc,Agency,nom-item,CDT,Euroopa Liidu Asutuste Tõlkekeskus,et
metadata,nomenc,Agency,nom-item,CDT,Euroopan unionin elinten käännöskeskus,fi
metadata,nomenc,Agency,nom-item,CDT,Fond solidarnosti Europske unije (EUSF) — Države članice,hr
metadata,nomenc,Agency,nom-item,CDT,Az Európai Unió Szerveinek Fordítóközpontja,hu
metadata,nomenc,Agency,nom-item,CDT,Centro di traduzione degli organismi dell'Unione europea,it
metadata,nomenc,Agency,nom-item,CDT,Europos Sąjungos įstaigų vertimo centras,lt
metadata,nomenc,Agency,nom-item,CDT,Eiropas Savienības iestāžu Tulkošanas centrs,lv
metadata,nomenc,Agency,nom-item,CDT,Ċentru tat-Traduzzjoni għall-korpi tal-Unjoni Ewropea  ,mt
metadata,nomenc,Agency,nom-item,CDT,Vertaalbureau voor de organen van de Europese Unie,nl
metadata,nomenc,Agency,nom-item,CDT,Centrum Tłumaczeń dla Organów Unii Europejskiej,pl
metadata,nomenc,Agency,nom-item,CDT,Centro de Tradução dos Organismos da União Europeia ,pt
metadata,nomenc,Agency,nom-item,CDT,Centrul de Traduceri pentru Organismele Uniunii Europene,ro
metadata,nomenc,Agency,nom-item,CDT,Prekladateľské stredisko pre orgány Európskej únie ,sk
metadata,nomenc,Agency,nom-item,CDT,Prevajalski center za organe Evropske unije,sl
metadata,nomenc,Agency,nom-item,CDT,Översättningscentrum för Europeiska unionens organ,sv
metadata,nomenc,Agency,nom-item,CEDEFOP,European Centre for the Development of Vocational Training (CEDEFOP),en
metadata,nomenc,Agency,nom-item,CEDEFOP,Centre européen pour le développement de la formation professionnelle (Cedefop),fr
metadata,nomenc,Agency,nom-item,CEDEFOP,Европейски център за развитие на професионалното обучение (CEDEFOP),bg
metadata,nomenc,Agency,nom-item,CEDEFOP,Evropské středisko pro rozvoj odborného vzdělávání (Cedefop),cs
metadata,nomenc,Agency,nom-item,CEDEFOP,Det Europæiske Center for Udvikling af Erhvervsuddannelse,da
metadata,nomenc,Agency,nom-item,CEDEFOP,Europäisches Zentrum für die Förderung der Berufsbildung (Cedefop),de
metadata,nomenc,Agency,nom-item,CEDEFOP,Ευρωπαϊκό Κέντρο για την Ανάπτυξη της Επαγγελματικής Κατάρτισης (CEDEFOP),el
metadata,nomenc,Agency,nom-item,CEDEFOP,Centro Europeo para el Desarrollo de la Formación Profesional (Cedefop),es
metadata,nomenc,Agency,nom-item,CEDEFOP,Euroopa Kutseõppe Arenduskeskus (CEDEFOP),et
metadata,nomenc,Agency,nom-item,CEDEFOP,Euroopan ammatillisen koulutuksen kehittämiskeskus (Cedefop),fi
metadata,nomenc,Agency,nom-item,CEDEFOP,Fond solidarnosti Europske unije (EUSF) — Zemlje u pregovorima za pristupanje,hr
metadata,nomenc,Agency,nom-item,CEDEFOP,Európai Szakképzés-fejlesztési Központ (CEDEFOP),hu
metadata,nomenc,Agency,nom-item,CEDEFOP,Centro europeo per lo sviluppo della formazione professionale (CEDEFOP),it
metadata,nomenc,Agency,nom-item,CEDEFOP,Europos profesinio mokymo plėtros centras (CEDEFOP),lt
metadata,nomenc,Agency,nom-item,CEDEFOP,Eiropas Profesionālās izglītības attīstības centrs (CEDEFOP),lv
metadata,nomenc,Agency,nom-item,CEDEFOP,Ċentru Ewropew għall-Iżvilupp ta' Taħriġ Vokazzjonali (CEDEFOP),mt
metadata,nomenc,Agency,nom-item,CEDEFOP,Europees Centrum voor ontwikkeling van de beroepsopleiding (CEDEFOP),nl
metadata,nomenc,Agency,nom-item,CEDEFOP,Europejskie Centrum Rozwoju Kształcenia Zawodowego (CEDEFOP),pl
metadata,nomenc,Agency,nom-item,CEDEFOP,Centro Europeu para o Desenvolvimento da Formação Profissional (CEDEFOP),pt
metadata,nomenc,Agency,nom-item,CEDEFOP,Centrul European pentru Dezvoltarea Formării Profesionale (CEDEFOP),ro
metadata,nomenc,Agency,nom-item,CEDEFOP,Európske stredisko pre rozvoj odborného vzdelávania (CEDEFOP),sk
metadata,nomenc,Agency,nom-item,CEDEFOP,Evropski center za razvoj poklicnega usposabljanja (CEDEFOP),sl
metadata,nomenc,Agency,nom-item,CEDEFOP,Europeiskt centrum för utveckling av yrkesutbildning (Cedefop),sv
metadata,nomenc,Agency,nom-item,CEPOL,European Police College (CEPOL),en
metadata,nomenc,Agency,nom-item,CEPOL,Collège européen de police (CEPOL),fr
metadata,nomenc,Agency,nom-item,CEPOL,Европейски полицейски колеж (CEPOL),bg
metadata,nomenc,Agency,nom-item,CEPOL,Evropská policejní akademie (CEPOL),cs
metadata,nomenc,Agency,nom-item,CEPOL,Det Europæiske Politiakademi (CEPOL),da
metadata,nomenc,Agency,nom-item,CEPOL,Europäische Polizeiakademie (CEPOL),de
metadata,nomenc,Agency,nom-item,CEPOL,Ευρωπαϊκή Αστυνομική Ακαδημία (CEPOL),el
metadata,nomenc,Agency,nom-item,CEPOL,Escuela Europea de Policía (CEPOL),es
metadata,nomenc,Agency,nom-item,CEPOL,Euroopa Politseikolledž (CEPOL),et
metadata,nomenc,Agency,nom-item,CEPOL,Euroopan poliisiakatemia (Cepol),fi
metadata,nomenc,Agency,nom-item,CEPOL,Europski fond za razvoj (EDF),hr
metadata,nomenc,Agency,nom-item,CEPOL,Európai Rendőrakadémia (CEPOL),hu
metadata,nomenc,Agency,nom-item,CEPOL,Accademia europea di polizia (CEPOL),it
metadata,nomenc,Agency,nom-item,CEPOL,Europos policijos koledžas (CEPOL),lt
metadata,nomenc,Agency,nom-item,CEPOL,Eiropas Policijas akadēmija (CEPOL),lv
metadata,nomenc,Agency,nom-item,CEPOL,Kulleġġ Ewropew tal-Pulizija (CEPOL),mt
metadata,nomenc,Agency,nom-item,CEPOL,Europese Politieacademie (EPA),nl
metadata,nomenc,Agency,nom-item,CEPOL,Europejskie Kolegium Policyjne (CEPOL),pl
metadata,nomenc,Agency,nom-item,CEPOL,Academia Europeia de Polícia (CEPOL),pt
metadata,nomenc,Agency,nom-item,CEPOL,Colegiul European de Poliție (CEPOL),ro
metadata,nomenc,Agency,nom-item,CEPOL,Európska policajná akadémia (CEPOL),sk
metadata,nomenc,Agency,nom-item,CEPOL,Evropska policijska akademija (CEPOL),sl
metadata,nomenc,Agency,nom-item,CEPOL,Europeiska polisakademin (Cepol),sv
metadata,nomenc,Agency,nom-item,EFCA,European Fisheries Control Agency (EFCA),en
metadata,nomenc,Agency,nom-item,EFCA,Agence européenne de contrôle des pêches (EFCA),fr
metadata,nomenc,Agency,nom-item,EFCA,Европейска агенция за контрол на рибарството (EFCA),bg
metadata,nomenc,Agency,nom-item,EFCA,Evropská agentura pro kontrolu rybolovu (EFCA),cs
metadata,nomenc,Agency,nom-item,EFCA,EU-Fiskerikontrolagenturet (EFCA),da
metadata,nomenc,Agency,nom-item,EFCA,Europäische Fischereiaufsichtsagentur (EFCA),de
metadata,nomenc,Agency,nom-item,EFCA,Ευρωπαϊκή Υπηρεσία Ελέγχου της Αλιείας (EFCA),el
metadata,nomenc,Agency,nom-item,EFCA,Agencia Europea de Control de la Pesca (AECP),es
metadata,nomenc,Agency,nom-item,EFCA,Euroopa Kalanduskontrolli Amet (EFCA),et
metadata,nomenc,Agency,nom-item,EFCA,Euroopan kalastuksenvalvontavirasto (EFCA),fi
metadata,nomenc,Agency,nom-item,EFCA,Europski fond za razvoj (EDF) — AKP,hr
metadata,nomenc,Agency,nom-item,EFCA,Európai Halászati Ellenőrző Hivatal (EFCA),hu
metadata,nomenc,Agency,nom-item,EFCA,Agenzia europea di controllo della pesca (EFCA),it
metadata,nomenc,Agency,nom-item,EFCA,Europos žuvininkystės kontrolės agentūra (EŽKA),lt
metadata,nomenc,Agency,nom-item,EFCA,Eiropas Zivsaimniecības kontroles aģentūra (EFCA),lv
metadata,nomenc,Agency,nom-item,EFCA,Aġenzija Ewropea għall-Kontroll tas-Sajd (EFCA),mt
metadata,nomenc,Agency,nom-item,EFCA,Communautair Bureau voor visserijcontrole (CBVC/EFCA),nl
metadata,nomenc,Agency,nom-item,EFCA,Europejska Agencja Kontroli Rybołówstwa (EFCA),pl
metadata,nomenc,Agency,nom-item,EFCA,Agência Europeia de Controlo das Pescas (EFCA),pt
metadata,nomenc,Agency,nom-item,EFCA,Agenția Europeană pentru Controlul Pescuitului (EFCA),ro
metadata,nomenc,Agency,nom-item,EFCA,Európska agentúra na kontrolu rybárstva (EFCA),sk
metadata,nomenc,Agency,nom-item,EFCA,Evropska agencija za nadzor ribištva (EFCA),sl
metadata,nomenc,Agency,nom-item,EFCA,Gemenskapens kontrollorgan för fiske (CFCA),sv
metadata,nomenc,Agency,nom-item,CLEANSKY,Clean Sky Joint Undertaking,en
metadata,nomenc,Agency,nom-item,CLEANSKY,Entreprise commune Clean Sky,fr
metadata,nomenc,Agency,nom-item,CLEANSKY,Съвместно предприятие „Чисто небе“,bg
metadata,nomenc,Agency,nom-item,CLEANSKY,Společný podnik Clean Sky,cs
metadata,nomenc,Agency,nom-item,CLEANSKY,Fællesforetagendet Clean Sky,da
metadata,nomenc,Agency,nom-item,CLEANSKY,Gemeinsames Unternehmen Clean Sky,de
metadata,nomenc,Agency,nom-item,CLEANSKY,Κοινή επιχείρηση Clean Sky,el
metadata,nomenc,Agency,nom-item,CLEANSKY,Empresa Común «Clean Sky»,es
metadata,nomenc,Agency,nom-item,CLEANSKY,Ühisettevõte „Clean Sky”,et
metadata,nomenc,Agency,nom-item,CLEANSKY,Clean Sky -yhteisyritys,fi
metadata,nomenc,Agency,nom-item,CLEANSKY,Europski fond za razvoj (EDF) — PZP,hr
metadata,nomenc,Agency,nom-item,CLEANSKY,Tiszta Égbolt közös vállalkozás,hu
metadata,nomenc,Agency,nom-item,CLEANSKY,Impresa comune Clean Sky,it
metadata,nomenc,Agency,nom-item,CLEANSKY,Bendroji įmonė „Švarus dangus“,lt
metadata,nomenc,Agency,nom-item,CLEANSKY,Kopuzņēmums „Clean Sky”,lv
metadata,nomenc,Agency,nom-item,CLEANSKY,Impriża Konġunta Clean Sky ,mt
metadata,nomenc,Agency,nom-item,CLEANSKY,Gemeenschappelijke onderneming Clean Sky,nl
metadata,nomenc,Agency,nom-item,CLEANSKY,Wspólne przedsiębiorstwo „Czyste niebo”,pl
metadata,nomenc,Agency,nom-item,CLEANSKY,Empresa Comum Clean Sky ,pt
metadata,nomenc,Agency,nom-item,CLEANSKY,Întreprinderea comună Clean Sky,ro
metadata,nomenc,Agency,nom-item,CLEANSKY,Spoločný podnik Čisté nebo,sk
metadata,nomenc,Agency,nom-item,CLEANSKY,Skupno podjetje „Čisto nebo“,sl
metadata,nomenc,Agency,nom-item,CLEANSKY,Det gemensamma företaget Clean Sky,sv
metadata,nomenc,Agency,nom-item,EACEA,Executive Agency for Education, Audiovisual and Culture (EACEA),en
metadata,nomenc,Agency,nom-item,EACEA,Agence exécutive «Éducation, audiovisuel et culture» (EACEA),fr
metadata,nomenc,Agency,nom-item,EACEA,Изпълнителна агенция за образование, аудиовизия и култура (EACEA),bg
metadata,nomenc,Agency,nom-item,EACEA,Výkonná agentura pro vzdělávání, kulturu a audiovizuální oblast,cs
metadata,nomenc,Agency,nom-item,EACEA,Forvaltningsorgan for Undervisning, Audiovisuelle Medier og Kultur,da
metadata,nomenc,Agency,nom-item,EACEA,Exekutivagentur Bildung, Audiovisuelles und Kultur (EACEA),de
metadata,nomenc,Agency,nom-item,EACEA,Εκτελεστικός οργανισμός εκπαίδευσης, οπτικοακουστικών θεμάτων και πολιτισμού (EACEA),el
metadata,nomenc,Agency,nom-item,EACEA,Agencia Ejecutiva para la Educación, el Sector Audiovisual y la Cultura (EACEA),es
metadata,nomenc,Agency,nom-item,EACEA,Hariduse, Audiovisuaalvaldkonna ja Kultuuri Täitevasutus (EACEA),et
metadata,nomenc,Agency,nom-item,EACEA,Koulutuksen, audiovisuaalialan ja kulttuurin toimeenpanovirasto (EACEA) ,fi
metadata,nomenc,Agency,nom-item,EACEA,Fond za globalnu klimu i biološku raznolikost (GCBF),hr
metadata,nomenc,Agency,nom-item,EACEA,Oktatási, Audiovizuális és Kulturális Végrehajtó Ügynökség (EACEA),hu
metadata,nomenc,Agency,nom-item,EACEA,Agenzia esecutiva per l’istruzione, gli audiovisivi e la cultura (EACEA),it
metadata,nomenc,Agency,nom-item,EACEA,Švietimo, garso ir vaizdo bei kultūros vykdomoji agentūra (EACEA),lt
metadata,nomenc,Agency,nom-item,EACEA,Izglītības, audiovizuālās jomas un kultūras izpildaģentūra (EACEA),lv
metadata,nomenc,Agency,nom-item,EACEA,Aġenzija Eżekuttiva għall-Edukazzjoni, l-Awdjoviżiv u l-Kultura (EACEA),mt
metadata,nomenc,Agency,nom-item,EACEA,Uitvoerend Agentschap Onderwijs, audiovisuele media en cultuur (EACEA),nl
metadata,nomenc,Agency,nom-item,EACEA,Agencja Wykonawcza ds. Edukacji, Kultury i Sektora Audiowizualnego (EACEA),pl
metadata,nomenc,Agency,nom-item,EACEA,Agência de Execução relativa à Educação, ao Audiovisual e à Cultura (EACEA),pt
metadata,nomenc,Agency,nom-item,EACEA,Agenția Executivă pentru Educație, Audiovizual și Cultură (EACEA),ro
metadata,nomenc,Agency,nom-item,EACEA,Výkonná agentúra pre vzdelávanie, audiovizuálny sektor a kultúru (EACEA),sk
metadata,nomenc,Agency,nom-item,EACEA,Izvajalska agencija za izobraževanje, avdiovizualno področje in kulturo (EACEA),sl
metadata,nomenc,Agency,nom-item,EACEA,Genomförandeorganet för utbildning, audiovisuella frågor och kultur (EACEA),sv
metadata,nomenc,Agency,nom-item,EACI,Executive Agency for Competitiveness and Innovation (EACI),en
metadata,nomenc,Agency,nom-item,EACI,Agence exécutive pour la compétitivité et l’innovation (EACI),fr
metadata,nomenc,Agency,nom-item,EACI,Изпълнителна агенция за конкурентоспособност и иновации (EACI),bg
metadata,nomenc,Agency,nom-item,EACI,Výkonná agentura pro konkurenceschopnost a inovace (EACI),cs
metadata,nomenc,Agency,nom-item,EACI,Forvaltningsorganet for Konkurrenceevne og Innovation,da
metadata,nomenc,Agency,nom-item,EACI,Exekutivagentur für Wettbewerbsfähigkeit und Innovation (EACI),de
metadata,nomenc,Agency,nom-item,EACI,Εκτελεστικός οργανισμός για την Ανταγωνιστικότητα και την Καινοτομία (EACI),el
metadata,nomenc,Agency,nom-item,EACI,Agencia Ejecutiva de Competitividad e Innovación (EACI) ,es
metadata,nomenc,Agency,nom-item,EACI,Konkurentsivõime ja Uuendustegevuse Täitevasutus (EACI),et
metadata,nomenc,Agency,nom-item,EACI,Kilpailukyvyn ja innovoinnin toimeenpanovirasto (EACI),fi
metadata,nomenc,Agency,nom-item,EACI,Agencija za suradnju energetskih regulatora (ACER),hr
metadata,nomenc,Agency,nom-item,EACI,Versenyképességi és Innovációs Végrehajtó Hivatal (EACI),hu
metadata,nomenc,Agency,nom-item,EACI,Agenzia esecutiva per la competitività e l’innovazione (EACI),it
metadata,nomenc,Agency,nom-item,EACI,Konkurencingumo ir inovacijų vykdomoji įstaiga (EACI),lt
metadata,nomenc,Agency,nom-item,EACI,Konkurētspējas un jauninājumu izpildaģentūra (EACI),lv
metadata,nomenc,Agency,nom-item,EACI,Aġenzija Eżekuttiva għall-Kompetittività u l-Innovazzjoni (EACI),mt
metadata,nomenc,Agency,nom-item,EACI,Uitvoerend Agentschap voor concurrentievermogen en innovatie (EACI),nl
metadata,nomenc,Agency,nom-item,EACI,Agencja Wykonawcza ds. Konkurencyjności i Innowacyjności (EACI),pl
metadata,nomenc,Agency,nom-item,EACI,Agência de Execução para a Competitividade e a Inovação (EACI),pt
metadata,nomenc,Agency,nom-item,EACI,Agenția Executivă pentru Competitivitate și Inovare (EACI),ro
metadata,nomenc,Agency,nom-item,EACI,Výkonný orgán pre konkurencieschopnosť a inovácie (EACI),sk
metadata,nomenc,Agency,nom-item,EACI,Izvajalska agencija za konkurenčnost in inovativnost (EACI),sl
metadata,nomenc,Agency,nom-item,EACI,Genomförandeorganet för konkurrenskraft och innovation (EACI),sv
metadata,nomenc,Agency,nom-item,EAHC,Executive Agency for Health and Consumers (EAHC),en
metadata,nomenc,Agency,nom-item,EAHC,Agence exécutive pour la santé et les consommateurs (EAHC),fr
metadata,nomenc,Agency,nom-item,EAHC,Изпълнителна агенция за здравеопазване и въпроси, свързани с потребителите (EAHC),bg
metadata,nomenc,Agency,nom-item,EAHC,Výkonná agentura pro zdraví a spotřebitele (EAHC),cs
metadata,nomenc,Agency,nom-item,EAHC,Forvaltningsorganet for Sundhed og Forbrugere,da
metadata,nomenc,Agency,nom-item,EAHC,Exekutivagentur für Gesundheit und Verbraucher (EAHC),de
metadata,nomenc,Agency,nom-item,EAHC,Εκτελεστικός οργανισμός για την Υγεία και τους Καταναλωτές (EAHC),el
metadata,nomenc,Agency,nom-item,EAHC,Agencia Ejecutiva de Sanidad y Consumo (EAHC),es
metadata,nomenc,Agency,nom-item,EAHC,Tervise- ja Tarbijaküsimuste Rakendusamet (EAHC),et
metadata,nomenc,Agency,nom-item,EAHC,Terveys- ja kuluttaja-asioiden toimeenpanovirasto (EAHC),fi
metadata,nomenc,Agency,nom-item,EAHC,Zajedničko poduzeće ARTEMIS,hr
metadata,nomenc,Agency,nom-item,EAHC,Egészség- és Fogyasztóügyi Végrehajtó Ügynökség,hu
metadata,nomenc,Agency,nom-item,EAHC,Agenzia esecutiva per la salute e i consumatori (EAHC),it
metadata,nomenc,Agency,nom-item,EAHC,Sveikatos ir vartotojų reikalų vykdomoji agentūra (EAHC),lt
metadata,nomenc,Agency,nom-item,EAHC,Veselības un patērētāju izpildaģentūra (EAHC),lv
metadata,nomenc,Agency,nom-item,EAHC,Aġenzija Eżekuttiva għas-Saħħa u l-Konsumaturi (EACH),mt
metadata,nomenc,Agency,nom-item,EAHC,Uitvoerend Agentschap voor gezondheid en consumenten (EAHC),nl
metadata,nomenc,Agency,nom-item,EAHC,Agencja Wykonawcza ds. Zdrowia i Konsumentów (EAHC),pl
metadata,nomenc,Agency,nom-item,EAHC,Agência de Execução para a Saúde e os Consumidores (EAHC),pt
metadata,nomenc,Agency,nom-item,EAHC,Agenția Executivă pentru Sănătate și Consumatori (EAHC),ro
metadata,nomenc,Agency,nom-item,EAHC,Výkonná agentúra pre zdravie a spotrebiteľov (EAHC),sk
metadata,nomenc,Agency,nom-item,EAHC,Izvajalska agencija za zdravje in potrošnike,sl
metadata,nomenc,Agency,nom-item,EAHC,Genomförandeorganet för hälso- och konsumentfrågor (EAHC),sv
metadata,nomenc,Agency,nom-item,EASA,European Aviation Safety Agency (EASA),en
metadata,nomenc,Agency,nom-item,EASA,Agence européenne de la sécurité aérienne (AESA),fr
metadata,nomenc,Agency,nom-item,EASA,Европейска агенция за авиационна безопасност (ЕААБ),bg
metadata,nomenc,Agency,nom-item,EASA,Evropská agentura pro bezpečnost letectví (EASA),cs
metadata,nomenc,Agency,nom-item,EASA,Det Europæiske Luftfartssikkerhedsagentur,da
metadata,nomenc,Agency,nom-item,EASA,Europäische Agentur für Flugsicherheit (EASA),de
metadata,nomenc,Agency,nom-item,EASA,Ευρωπαϊκός οργανισμός Ασφάλειας της Αεροπορίας (EASA),el
metadata,nomenc,Agency,nom-item,EASA,Agencia Europea de Seguridad Aérea (AESA),es
